x y z
-1.362 1.596 -0.399
-1.362 1.596 -0.397
-1.363 1.596 -0.395
-1.364 1.595 -0.394
-1.364 1.595 -0.392
-1.365 1.595 -0.390
-1.366 1.595 -0.388
-1.366 1.594 -0.386
-1.367 1.594 -0.384
-1.368 1.594 -0.382
-1.368 1.594 -0.380
-1.369 1.594 -0.379
-1.369 1.594 -0.377
-1.370 1.593 -0.375
-1.370 1.593 -0.373
-1.371 1.593 -0.372
-1.372 1.592 -0.370
-1.372 1.592 -0.368
-1.373 1.592 -0.366
-1.374 1.592 -0.365
-1.374 1.591 -0.363
-1.375 1.591 -0.362
-1.376 1.591 -0.360
-1.376 1.591 -0.358
-1.377 1.590 -0.357
-1.378 1.590 -0.356
-1.378 1.590 -0.354
-1.379 1.590 -0.353
-1.379 1.590 -0.351
-1.380 1.589 -0.350
-1.380 1.589 -0.349
-1.381 1.589 -0.347
-1.382 1.589 -0.346
-1.382 1.589 -0.345
-1.383 1.588 -0.343
-1.383 1.588 -0.342
-1.384 1.588 -0.341
-1.384 1.588 -0.339
-1.385 1.587 -0.338
-1.386 1.587 -0.337
-1.386 1.587 -0.336
-1.387 1.587 -0.334
-1.387 1.587 -0.333
-1.388 1.587 -0.332
-1.388 1.587 -0.331
-1.389 1.587 -0.330
-1.389 1.587 -0.329
-1.390 1.587 -0.328
-1.390 1.587 -0.327
-1.391 1.587 -0.325
-1.391 1.587 -0.324
-1.392 1.587 -0.323
-1.392 1.587 -0.322
-1.393 1.587 -0.321
-1.393 1.587 -0.320
-1.394 1.587 -0.319
-1.395 1.586 -0.318
-1.395 1.587 -0.317
-1.396 1.586 -0.316
-1.396 1.586 -0.315
-1.397 1.586 -0.314
-1.397 1.586 -0.313
-1.397 1.586 -0.312
-1.397 1.586 -0.311
-1.397 1.586 -0.309
-1.395 1.587 -0.308
-1.391 1.588 -0.307
-1.387 1.590 -0.306
-1.381 1.594 -0.306
-1.375 1.597 -0.305
-1.368 1.602 -0.305
-1.360 1.607 -0.305
-1.352 1.612 -0.306
-1.343 1.618 -0.306
-1.335 1.624 -0.306
-1.326 1.630 -0.305
-1.316 1.636 -0.305
-1.307 1.642 -0.304
-1.297 1.648 -0.303
-1.286 1.655 -0.302
-1.276 1.661 -0.301
-1.265 1.667 -0.300
-1.255 1.673 -0.299
-1.243 1.680 -0.298
-1.232 1.687 -0.298
-1.221 1.693 -0.297
-1.209 1.700 -0.296
-1.197 1.707 -0.295
-1.185 1.714 -0.295
-1.173 1.720 -0.294
-1.161 1.727 -0.293
-1.149 1.734 -0.293
-1.136 1.741 -0.292
-1.124 1.749 -0.292
-1.111 1.756 -0.292
-1.098 1.763 -0.292
-1.086 1.770 -0.292
-1.074 1.777 -0.292
-1.061 1.785 -0.292
-1.048 1.792 -0.292
-1.035 1.799 -0.293
-1.022 1.806 -0.293
-1.009 1.814 -0.294
-0.996 1.821 -0.294
-0.983 1.829 -0.295
-0.970 1.836 -0.296
-0.956 1.844 -0.297
-0.942 1.851 -0.298
-0.929 1.859 -0.299
-0.915 1.867 -0.300
-0.901 1.875 -0.302
-0.887 1.883 -0.303
-0.873 1.891 -0.305
-0.859 1.899 -0.306
-0.845 1.907 -0.308
-0.830 1.915 -0.310
-0.816 1.924 -0.312
-0.801 1.932 -0.314
-0.787 1.941 -0.316
-0.772 1.949 -0.318
-0.757 1.958 -0.320
-0.742 1.966 -0.322
-0.727 1.975 -0.324
-0.713 1.983 -0.327
-0.697 1.992 -0.330
-0.682 2.001 -0.331
-0.667 2.009 -0.334
-0.652 2.018 -0.336
-0.638 2.026 -0.338
-0.623 2.035 -0.341
-0.608 2.044 -0.343
-0.593 2.053 -0.346
-0.578 2.061 -0.348
-0.563 2.070 -0.350
-0.548 2.079 -0.353
-0.533 2.087 -0.356
-0.517 2.096 -0.358
-0.502 2.104 -0.361
-0.486 2.113 -0.364
-0.471 2.122 -0.367
-0.456 2.130 -0.370
-0.442 2.138 -0.373
-0.429 2.146 -0.375
-0.419 2.152 -0.377
-0.412 2.158 -0.378
-0.408 2.162 -0.380
-0.408 2.164 -0.381
-0.410 2.164 -0.384
-0.416 2.162 -0.385
-0.422 2.158 -0.387
-0.430 2.153 -0.389
-0.436 2.148 -0.389
-0.441 2.143 -0.391
-0.444 2.139 -0.392
-0.446 2.135 -0.391
-0.447 2.132 -0.392
-0.448 2.129 -0.391
-0.448 2.126 -0.391
-0.447 2.124 -0.391
-0.446 2.122 -0.391
-0.445 2.120 -0.391
-0.443 2.118 -0.392
-0.441 2.117 -0.391
-0.440 2.115 -0.391
-0.437 2.114 -0.391
-0.435 2.113 -0.391
-0.432 2.112 -0.391
-0.430 2.111 -0.390
-0.427 2.111 -0.390
-0.425 2.110 -0.390
-0.422 2.109 -0.390
-0.419 2.109 -0.390
-0.416 2.109 -0.388
-0.413 2.108 -0.390
-0.411 2.108 -0.388
-0.407 2.107 -0.388
-0.404 2.107 -0.388
-0.401 2.107 -0.387
-0.398 2.107 -0.387
-0.395 2.107 -0.387
-0.392 2.107 -0.386
-0.389 2.108 -0.386
-0.386 2.108 -0.386
-0.384 2.108 -0.385
-0.380 2.108 -0.385
-0.377 2.108 -0.385
-0.379 2.112 -0.381
-0.371 2.109 -0.385
-0.368 2.110 -0.385
-0.366 2.110 -0.384
-0.363 2.111 -0.384
-0.360 2.112 -0.384
-0.357 2.112 -0.384
-0.355 2.113 -0.384
-0.353 2.114 -0.384
-0.350 2.115 -0.383
-0.348 2.115 -0.384
-0.346 2.116 -0.383
-0.343 2.117 -0.383
-0.342 2.118 -0.383
-0.340 2.118 -0.383
-0.338 2.119 -0.383
-0.336 2.120 -0.383
-0.334 2.121 -0.383
-0.333 2.122 -0.383
-0.331 2.123 -0.383
-0.329 2.123 -0.383
-0.328 2.125 -0.383
-0.326 2.125 -0.383
-0.324 2.126 -0.383
-0.323 2.126 -0.383
-0.321 2.127 -0.383
-0.320 2.128 -0.383
-0.318 2.129 -0.383
-0.317 2.130 -0.382
-0.315 2.130 -0.383
-0.316 2.132 -0.382
-0.313 2.132 -0.383
-0.312 2.132 -0.383
-0.312 2.133 -0.383
-0.311 2.134 -0.382
-0.309 2.134 -0.382
