x y z
-2.041 -0.126 -0.554
-2.040 -0.126 -0.553
-2.040 -0.126 -0.552
-2.039 -0.126 -0.552
-2.039 -0.125 -0.551
-2.038 -0.124 -0.551
-2.037 -0.125 -0.548
-2.037 -0.124 -0.548
-2.036 -0.124 -0.547
-2.036 -0.124 -0.546
-2.035 -0.124 -0.545
-2.034 -0.123 -0.544
-2.033 -0.124 -0.543
-2.032 -0.123 -0.542
-2.032 -0.123 -0.541
-2.031 -0.123 -0.540
-2.030 -0.124 -0.539
-2.029 -0.124 -0.538
-2.028 -0.124 -0.537
-2.027 -0.124 -0.536
-2.026 -0.124 -0.535
-2.026 -0.124 -0.534
-2.025 -0.124 -0.533
-2.024 -0.124 -0.532
-2.024 -0.124 -0.531
-2.023 -0.124 -0.530
-2.022 -0.124 -0.529
-2.021 -0.124 -0.528
-2.020 -0.124 -0.527
-2.019 -0.124 -0.526
-2.018 -0.124 -0.525
-2.017 -0.124 -0.524
-2.017 -0.124 -0.523
-2.016 -0.124 -0.522
-2.015 -0.124 -0.521
-2.014 -0.124 -0.520
-2.013 -0.124 -0.519
-2.011 -0.124 -0.518
-2.011 -0.124 -0.516
-2.009 -0.124 -0.515
-2.009 -0.124 -0.514
-2.007 -0.123 -0.513
-2.006 -0.123 -0.512
-2.005 -0.123 -0.511
-2.004 -0.123 -0.510
-2.003 -0.122 -0.509
-2.002 -0.122 -0.508
-2.001 -0.122 -0.506
-2.000 -0.122 -0.506
-1.999 -0.121 -0.505
-1.998 -0.121 -0.504
-1.997 -0.121 -0.503
-1.996 -0.121 -0.503
-1.995 -0.121 -0.502
-1.995 -0.121 -0.501
-1.994 -0.121 -0.500
-1.993 -0.121 -0.499
-1.993 -0.121 -0.499
-1.992 -0.121 -0.498
-1.991 -0.121 -0.497
-1.990 -0.121 -0.497
-1.989 -0.121 -0.496
-1.988 -0.121 -0.496
-1.987 -0.121 -0.495
-1.987 -0.121 -0.494
-1.986 -0.122 -0.494
-1.985 -0.122 -0.493
-1.984 -0.122 -0.493
-1.983 -0.123 -0.492
-1.982 -0.123 -0.492
-1.982 -0.123 -0.491
-1.981 -0.123 -0.490
-1.980 -0.122 -0.490
-1.979 -0.121 -0.489
-1.978 -0.118 -0.488
-1.976 -0.113 -0.487
-1.975 -0.107 -0.487
-1.974 -0.101 -0.486
-1.972 -0.093 -0.487
-1.971 -0.084 -0.487
-1.970 -0.074 -0.487
-1.968 -0.064 -0.488
-1.967 -0.054 -0.488
-1.966 -0.043 -0.488
-1.965 -0.032 -0.488
-1.964 -0.021 -0.488
-1.962 -0.010 -0.487
-1.961 0.001 -0.486
-1.959 0.013 -0.486
-1.958 0.025 -0.485
-1.957 0.036 -0.484
-1.956 0.048 -0.483
-1.954 0.061 -0.482
-1.953 0.073 -0.481
-1.953 0.085 -0.480
-1.951 0.098 -0.479
-1.950 0.110 -0.478
-1.949 0.123 -0.476
-1.947 0.136 -0.476
-1.946 0.149 -0.475
-1.944 0.162 -0.473
-1.943 0.176 -0.473
-1.942 0.189 -0.472
-1.940 0.202 -0.471
-1.939 0.216 -0.470
-1.937 0.229 -0.469
-1.935 0.242 -0.468
-1.933 0.256 -0.468
-1.932 0.269 -0.467
-1.931 0.283 -0.467
-1.929 0.296 -0.466
-1.928 0.310 -0.466
-1.927 0.324 -0.465
-1.926 0.338 -0.465
-1.924 0.352 -0.465
-1.923 0.367 -0.465
-1.921 0.381 -0.466
-1.920 0.396 -0.466
-1.918 0.410 -0.466
-1.917 0.425 -0.467
-1.915 0.440 -0.467
-1.914 0.455 -0.467
-1.912 0.471 -0.468
-1.910 0.486 -0.468
-1.909 0.502 -0.469
-1.907 0.517 -0.470
-1.906 0.533 -0.470
-1.904 0.549 -0.471
-1.902 0.565 -0.472
-1.901 0.581 -0.473
-1.900 0.597 -0.474
-1.898 0.612 -0.475
-1.897 0.629 -0.476
-1.895 0.644 -0.477
-1.894 0.660 -0.478
-1.893 0.677 -0.479
-1.891 0.693 -0.480
-1.890 0.709 -0.482
-1.888 0.725 -0.483
-1.887 0.741 -0.484
-1.886 0.758 -0.486
-1.885 0.774 -0.487
