x y z
-1.436 -0.184 -0.594
-1.436 -0.184 -0.593
-1.436 -0.184 -0.592
-1.435 -0.184 -0.591
-1.436 -0.184 -0.590
-1.436 -0.183 -0.588
-1.436 -0.183 -0.587
-1.436 -0.183 -0.586
-1.436 -0.183 -0.585
-1.436 -0.183 -0.584
-1.436 -0.183 -0.582
-1.436 -0.182 -0.581
-1.436 -0.182 -0.580
-1.436 -0.182 -0.579
-1.435 -0.182 -0.578
-1.435 -0.182 -0.576
-1.435 -0.182 -0.575
-1.435 -0.182 -0.574
-1.435 -0.182 -0.573
-1.435 -0.182 -0.572
-1.435 -0.182 -0.570
-1.435 -0.182 -0.569
-1.435 -0.182 -0.568
-1.435 -0.182 -0.567
-1.435 -0.182 -0.566
-1.435 -0.182 -0.565
-1.435 -0.182 -0.564
-1.435 -0.182 -0.563
-1.435 -0.182 -0.562
-1.435 -0.182 -0.560
-1.435 -0.182 -0.559
-1.435 -0.182 -0.558
-1.435 -0.182 -0.557
-1.435 -0.182 -0.556
-1.435 -0.182 -0.555
-1.435 -0.182 -0.554
-1.434 -0.182 -0.553
-1.434 -0.182 -0.551
-1.434 -0.182 -0.550
-1.434 -0.182 -0.549
-1.433 -0.182 -0.548
-1.433 -0.182 -0.547
-1.433 -0.182 -0.546
-1.433 -0.182 -0.544
-1.432 -0.182 -0.543
-1.432 -0.182 -0.543
-1.432 -0.182 -0.542
-1.432 -0.182 -0.540
-1.432 -0.182 -0.539
-1.432 -0.182 -0.538
-1.432 -0.182 -0.537
-1.432 -0.182 -0.536
-1.432 -0.182 -0.535
-1.431 -0.182 -0.534
-1.431 -0.182 -0.533
-1.431 -0.181 -0.532
-1.431 -0.181 -0.531
-1.431 -0.181 -0.530
-1.431 -0.181 -0.529
-1.431 -0.181 -0.529
-1.431 -0.181 -0.528
-1.430 -0.181 -0.527
-1.431 -0.181 -0.526
-1.431 -0.181 -0.525
-1.431 -0.182 -0.524
-1.432 -0.182 -0.523
-1.432 -0.182 -0.522
-1.433 -0.181 -0.521
-1.433 -0.180 -0.520
-1.433 -0.179 -0.519
-1.434 -0.178 -0.518
-1.434 -0.176 -0.517
-1.433 -0.173 -0.516
-1.433 -0.170 -0.515
-1.433 -0.167 -0.514
-1.432 -0.164 -0.513
-1.432 -0.159 -0.512
-1.432 -0.156 -0.511
-1.432 -0.151 -0.511
-1.431 -0.147 -0.511
-1.431 -0.142 -0.510
-1.430 -0.137 -0.509
-1.430 -0.132 -0.509
-1.430 -0.126 -0.508
-1.429 -0.121 -0.508
-1.429 -0.115 -0.508
-1.429 -0.110 -0.507
-1.429 -0.104 -0.507
-1.428 -0.098 -0.506
-1.428 -0.092 -0.505
-1.427 -0.087 -0.504
-1.427 -0.081 -0.504
-1.426 -0.075 -0.503
-1.426 -0.069 -0.502
-1.425 -0.063 -0.501
-1.425 -0.058 -0.501
-1.424 -0.051 -0.500
-1.424 -0.046 -0.499
-1.423 -0.040 -0.498
-1.423 -0.034 -0.498
-1.422 -0.028 -0.497
-1.422 -0.022 -0.496
-1.421 -0.016 -0.496
-1.421 -0.010 -0.495
-1.420 -0.003 -0.494
-1.419 0.003 -0.494
-1.419 0.009 -0.493
-1.419 0.015 -0.492
-1.418 0.022 -0.492
-1.417 0.028 -0.491
-1.417 0.035 -0.491
-1.416 0.041 -0.490
-1.416 0.048 -0.490
-1.415 0.054 -0.489
-1.415 0.061 -0.489
-1.414 0.068 -0.488
-1.414 0.075 -0.488
-1.413 0.083 -0.487
-1.413 0.090 -0.487
-1.412 0.097 -0.487
-1.411 0.105 -0.486
-1.410 0.112 -0.485
-1.409 0.119 -0.484
-1.408 0.126 -0.484
-1.407 0.134 -0.483
-1.406 0.142 -0.483
-1.406 0.149 -0.482
-1.405 0.156 -0.482
-1.404 0.164 -0.481
-1.404 0.172 -0.481
-1.403 0.180 -0.481
-1.402 0.187 -0.481
-1.401 0.195 -0.481
-1.400 0.203 -0.480
-1.399 0.211 -0.480
-1.398 0.219 -0.480
-1.398 0.227 -0.480
-1.397 0.235 -0.480
-1.396 0.243 -0.480
-1.395 0.251 -0.480
-1.394 0.259 -0.480
-1.393 0.267 -0.480
-1.393 0.275 -0.480
-1.392 0.284 -0.480
-1.391 0.292 -0.479
-1.390 0.300 -0.479
-1.389 0.307 -0.479
-1.389 0.313 -0.479
-1.389 0.317 -0.479
-1.388 0.320 -0.479
-1.388 0.320 -0.480
-1.388 0.319 -0.480
-1.389 0.318 -0.482
-1.389 0.314 -0.483
-1.389 0.310 -0.484
-1.389 0.306 -0.486
-1.390 0.303 -0.488
-1.390 0.300 -0.489
-1.390 0.297 -0.491
-1.390 0.295 -0.492
-1.389 0.292 -0.493
