x y z
-1.301 2.370 -0.286
-1.301 2.370 -0.285
-1.301 2.370 -0.283
-1.302 2.371 -0.282
-1.302 2.371 -0.280
-1.302 2.371 -0.279
-1.302 2.371 -0.277
-1.303 2.371 -0.276
-1.303 2.371 -0.275
-1.303 2.371 -0.273
-1.304 2.372 -0.272
-1.304 2.372 -0.270
-1.304 2.372 -0.269
-1.305 2.372 -0.268
-1.305 2.372 -0.266
-1.306 2.372 -0.265
-1.306 2.372 -0.264
-1.306 2.372 -0.262
-1.306 2.372 -0.261
-1.307 2.372 -0.260
-1.307 2.372 -0.258
-1.308 2.372 -0.257
-1.308 2.373 -0.256
-1.308 2.373 -0.254
-1.308 2.373 -0.253
-1.309 2.373 -0.252
-1.309 2.373 -0.251
-1.310 2.373 -0.249
-1.310 2.373 -0.248
-1.310 2.374 -0.247
-1.311 2.374 -0.245
-1.311 2.374 -0.244
-1.312 2.374 -0.243
-1.312 2.374 -0.242
-1.312 2.375 -0.241
-1.312 2.375 -0.240
-1.312 2.375 -0.238
-1.312 2.375 -0.237
-1.312 2.375 -0.236
-1.312 2.376 -0.234
-1.312 2.376 -0.233
-1.312 2.376 -0.232
-1.312 2.376 -0.231
-1.312 2.376 -0.230
-1.312 2.376 -0.229
-1.312 2.377 -0.227
-1.312 2.377 -0.226
-1.313 2.377 -0.225
-1.313 2.377 -0.224
-1.313 2.377 -0.223
-1.313 2.377 -0.222
-1.314 2.377 -0.221
-1.314 2.377 -0.220
-1.314 2.377 -0.219
-1.314 2.377 -0.218
-1.315 2.377 -0.217
-1.315 2.377 -0.216
-1.315 2.378 -0.215
-1.315 2.378 -0.214
-1.315 2.378 -0.213
-1.316 2.379 -0.212
-1.315 2.379 -0.212
-1.316 2.380 -0.210
-1.316 2.380 -0.210
-1.317 2.381 -0.209
-1.317 2.381 -0.208
-1.317 2.381 -0.207
-1.317 2.382 -0.206
-1.318 2.382 -0.206
-1.318 2.382 -0.205
-1.319 2.383 -0.204
-1.319 2.383 -0.203
-1.319 2.383 -0.203
-1.319 2.382 -0.202
-1.319 2.381 -0.201
-1.318 2.380 -0.201
-1.317 2.377 -0.200
-1.315 2.375 -0.200
-1.313 2.372 -0.199
-1.311 2.368 -0.199
-1.308 2.365 -0.199
-1.305 2.361 -0.200
-1.302 2.357 -0.200
-1.299 2.353 -0.200
-1.296 2.349 -0.201
-1.292 2.344 -0.202
-1.289 2.340 -0.203
-1.285 2.335 -0.203
-1.281 2.331 -0.205
-1.278 2.326 -0.205
-1.274 2.320 -0.207
-1.270 2.315 -0.208
-1.266 2.309 -0.209
-1.262 2.304 -0.210
-1.258 2.298 -0.211
-1.254 2.292 -0.213
-1.250 2.286 -0.214
-1.246 2.280 -0.215
-1.241 2.273 -0.217
-1.237 2.267 -0.218
-1.232 2.261 -0.220
-1.228 2.254 -0.221
-1.223 2.248 -0.223
-1.218 2.241 -0.225
-1.213 2.235 -0.226
-1.208 2.228 -0.228
-1.204 2.223 -0.231
-1.199 2.215 -0.232
-1.195 2.211 -0.235
-1.192 2.205 -0.238
-1.187 2.198 -0.240
-1.180 2.190 -0.241
-1.173 2.182 -0.241
-1.168 2.174 -0.244
-1.162 2.168 -0.247
-1.158 2.161 -0.248
-1.152 2.153 -0.250
-1.147 2.144 -0.251
-1.142 2.137 -0.252
-1.136 2.130 -0.256
-1.131 2.122 -0.258
-1.126 2.115 -0.260
-1.120 2.107 -0.262
-1.115 2.099 -0.264
-1.109 2.092 -0.267
-1.103 2.084 -0.269
-1.097 2.076 -0.271
-1.092 2.068 -0.274
-1.086 2.060 -0.275
-1.080 2.052 -0.278
-1.074 2.044 -0.280
-1.068 2.036 -0.283
-1.062 2.028 -0.285
-1.056 2.020 -0.287
-1.050 2.011 -0.289
-1.044 2.003 -0.291
-1.038 1.994 -0.294
-1.032 1.986 -0.296
-1.026 1.977 -0.299
-1.020 1.969 -0.301
-1.014 1.960 -0.303
-1.008 1.952 -0.306
-1.001 1.943 -0.308
-0.995 1.934 -0.310
-0.988 1.926 -0.313
-0.982 1.917 -0.315
-0.975 1.908 -0.318
-0.969 1.899 -0.321
-0.963 1.891 -0.322
-0.956 1.882 -0.325
-0.949 1.873 -0.328
-0.944 1.865 -0.330
-0.939 1.860 -0.331
-0.936 1.856 -0.333
-0.935 1.854 -0.334
-0.935 1.855 -0.335
-0.937 1.856 -0.336
-0.939 1.860 -0.337
-0.942 1.864 -0.339
-0.945 1.869 -0.340
-0.948 1.873 -0.341
-0.950 1.876 -0.343
-0.952 1.878 -0.344
-0.954 1.880 -0.345
-0.955 1.882 -0.346
-0.957 1.883 -0.346
-0.958 1.884 -0.347
-0.960 1.885 -0.347
-0.961 1.885 -0.347
-0.962 1.886 -0.347
-0.963 1.886 -0.348
-0.963 1.886 -0.348
-0.964 1.886 -0.347
-0.964 1.886 -0.347
-0.964 1.885 -0.347
-0.964 1.885 -0.347
-0.964 1.884 -0.346
-0.964 1.883 -0.346
-0.963 1.882 -0.345
-0.963 1.881 -0.345
-0.963 1.879 -0.344
-0.962 1.878 -0.343
-0.961 1.876 -0.342
-0.961 1.874 -0.341
-0.961 1.872 -0.341
-0.960 1.870 -0.340
-0.960 1.868 -0.339
-0.960 1.866 -0.337
-0.959 1.863 -0.336
-0.958 1.861 -0.335
-0.958 1.859 -0.334
-0.957 1.856 -0.333
-0.956 1.854 -0.331
-0.955 1.852 -0.330
-0.955 1.849 -0.329
-0.954 1.847 -0.327
-0.953 1.845 -0.326
-0.952 1.843 -0.325
-0.952 1.840 -0.322
-0.951 1.838 -0.321
-0.950 1.835 -0.320
-0.949 1.833 -0.319
-0.949 1.832 -0.317
-0.948 1.830 -0.316
-0.947 1.828 -0.314
-0.947 1.826 -0.313
-0.946 1.824 -0.312
-0.945 1.823 -0.310
-0.944 1.822 -0.309
-0.944 1.820 -0.308
-0.943 1.819 -0.307
-0.942 1.818 -0.306
-0.942 1.817 -0.305
-0.941 1.816 -0.304
-0.941 1.815 -0.303
-0.941 1.814 -0.302
-0.940 1.814 -0.302
-0.940 1.813 -0.301
-0.940 1.812 -0.300
-0.939 1.812 -0.300
-0.939 1.811 -0.299
-0.939 1.811 -0.299
-0.939 1.811 -0.298
-0.939 1.810 -0.298
-0.938 1.810 -0.297
-0.938 1.810 -0.297
-0.938 1.811 -0.297
-0.938 1.811 -0.297
-0.937 1.811 -0.297
-0.938 1.810 -0.296
-0.937 1.811 -0.295
-0.937 1.811 -0.295
-0.937 1.811 -0.295
-0.937 1.812 -0.295
-0.937 1.812 -0.294
-0.937 1.813 -0.294
-0.937 1.813 -0.293
-0.937 1.813 -0.293
-0.937 1.813 -0.293
-0.937 1.814 -0.292
-0.936 1.814 -0.292
-0.936 1.814 -0.292
-0.936 1.814 -0.291
-0.936 1.814 -0.291
-0.936 1.814 -0.290
-0.936 1.814 -0.289
-0.936 1.814 -0.289
-0.936 1.814 -0.288
