x y z
-0.858 1.646 -0.365
-0.858 1.646 -0.363
-0.858 1.645 -0.362
-0.858 1.645 -0.360
-0.858 1.645 -0.358
-0.858 1.645 -0.356
-0.858 1.645 -0.354
-0.858 1.644 -0.353
-0.858 1.644 -0.351
-0.858 1.644 -0.349
-0.858 1.644 -0.347
-0.858 1.644 -0.345
-0.858 1.644 -0.343
-0.858 1.644 -0.341
-0.858 1.644 -0.340
-0.858 1.643 -0.338
-0.858 1.643 -0.336
-0.858 1.643 -0.334
-0.858 1.643 -0.333
-0.858 1.643 -0.331
-0.859 1.642 -0.329
-0.859 1.642 -0.327
-0.859 1.642 -0.326
-0.859 1.642 -0.324
-0.859 1.642 -0.322
-0.859 1.642 -0.321
-0.859 1.642 -0.319
-0.859 1.642 -0.317
-0.859 1.642 -0.315
-0.859 1.642 -0.314
-0.859 1.641 -0.312
-0.860 1.641 -0.310
-0.859 1.641 -0.309
-0.859 1.641 -0.307
-0.860 1.641 -0.305
-0.860 1.640 -0.304
-0.860 1.640 -0.302
-0.860 1.640 -0.300
-0.859 1.640 -0.299
-0.859 1.640 -0.297
-0.859 1.640 -0.295
-0.859 1.640 -0.294
-0.858 1.640 -0.292
-0.858 1.640 -0.291
-0.858 1.641 -0.289
-0.858 1.641 -0.288
-0.858 1.641 -0.287
-0.859 1.641 -0.285
-0.859 1.641 -0.284
-0.858 1.641 -0.283
-0.859 1.641 -0.281
-0.860 1.642 -0.280
-0.860 1.642 -0.279
-0.861 1.642 -0.278
-0.861 1.642 -0.277
-0.861 1.642 -0.276
-0.862 1.642 -0.274
-0.862 1.643 -0.274
-0.862 1.643 -0.273
-0.863 1.643 -0.271
-0.863 1.643 -0.271
-0.864 1.644 -0.269
-0.864 1.644 -0.268
-0.865 1.644 -0.267
-0.866 1.645 -0.266
-0.866 1.645 -0.264
-0.866 1.645 -0.263
-0.866 1.645 -0.263
-0.865 1.646 -0.261
-0.863 1.647 -0.259
-0.859 1.650 -0.258
-0.854 1.653 -0.257
-0.848 1.657 -0.256
-0.841 1.661 -0.256
-0.834 1.666 -0.256
-0.825 1.672 -0.255
-0.817 1.678 -0.255
-0.808 1.684 -0.255
-0.799 1.691 -0.254
-0.789 1.697 -0.253
-0.779 1.704 -0.252
-0.769 1.710 -0.251
-0.759 1.717 -0.250
-0.748 1.723 -0.249
-0.737 1.730 -0.248
-0.725 1.737 -0.246
-0.714 1.744 -0.245
-0.702 1.751 -0.244
-0.692 1.759 -0.242
-0.680 1.767 -0.241
-0.669 1.774 -0.240
-0.657 1.781 -0.238
-0.645 1.789 -0.237
-0.633 1.797 -0.236
-0.621 1.804 -0.234
-0.608 1.812 -0.233
-0.595 1.820 -0.233
-0.583 1.828 -0.232
-0.570 1.836 -0.231
-0.558 1.844 -0.230
-0.545 1.852 -0.229
-0.532 1.860 -0.229
-0.519 1.868 -0.229
-0.506 1.876 -0.228
