x y z
-1.253 1.518 -0.416
-1.254 1.518 -0.414
-1.254 1.519 -0.413
-1.254 1.519 -0.411
-1.254 1.520 -0.409
-1.255 1.520 -0.408
-1.255 1.521 -0.406
-1.255 1.521 -0.405
-1.255 1.522 -0.403
-1.256 1.522 -0.402
-1.256 1.523 -0.400
-1.256 1.523 -0.399
-1.256 1.524 -0.397
-1.256 1.524 -0.396
-1.257 1.524 -0.394
-1.257 1.525 -0.393
-1.257 1.525 -0.391
-1.258 1.526 -0.390
-1.258 1.526 -0.388
-1.258 1.526 -0.387
-1.259 1.527 -0.385
-1.259 1.527 -0.384
-1.259 1.527 -0.382
-1.260 1.528 -0.381
-1.260 1.528 -0.380
-1.261 1.528 -0.378
-1.261 1.529 -0.377
-1.261 1.529 -0.376
-1.262 1.529 -0.374
-1.262 1.529 -0.373
-1.262 1.529 -0.372
-1.263 1.529 -0.370
-1.264 1.529 -0.369
-1.264 1.529 -0.368
-1.265 1.529 -0.367
-1.265 1.529 -0.365
-1.266 1.529 -0.364
-1.267 1.529 -0.363
-1.267 1.529 -0.362
-1.268 1.530 -0.361
-1.268 1.530 -0.359
-1.268 1.530 -0.358
-1.269 1.530 -0.357
-1.269 1.530 -0.356
-1.269 1.531 -0.355
-1.269 1.531 -0.353
-1.270 1.531 -0.352
-1.270 1.532 -0.351
-1.270 1.532 -0.350
-1.271 1.532 -0.349
-1.271 1.533 -0.348
-1.271 1.533 -0.346
-1.272 1.533 -0.345
-1.272 1.533 -0.344
-1.272 1.534 -0.343
-1.272 1.534 -0.342
-1.272 1.534 -0.341
-1.272 1.534 -0.340
-1.272 1.535 -0.339
-1.272 1.535 -0.338
-1.273 1.536 -0.336
-1.273 1.536 -0.335
-1.273 1.537 -0.334
-1.273 1.537 -0.334
-1.273 1.538 -0.332
-1.273 1.538 -0.332
-1.274 1.538 -0.331
-1.274 1.538 -0.330
-1.275 1.539 -0.329
-1.276 1.538 -0.328
-1.276 1.539 -0.327
-1.277 1.539 -0.326
-1.278 1.539 -0.325
-1.278 1.539 -0.324
-1.278 1.539 -0.323
-1.278 1.539 -0.322
-1.278 1.540 -0.321
-1.277 1.540 -0.320
-1.275 1.541 -0.319
-1.274 1.542 -0.318
-1.271 1.543 -0.317
-1.269 1.545 -0.316
-1.266 1.547 -0.315
-1.263 1.549 -0.315
-1.259 1.551 -0.314
-1.256 1.553 -0.313
-1.252 1.555 -0.313
-1.248 1.557 -0.312
-1.244 1.560 -0.312
-1.240 1.562 -0.312
-1.235 1.565 -0.312
-1.231 1.568 -0.311
-1.226 1.571 -0.311
-1.221 1.574 -0.311
-1.217 1.577 -0.310
-1.211 1.580 -0.310
-1.206 1.584 -0.309
-1.201 1.586 -0.309
-1.196 1.590 -0.308
-1.190 1.593 -0.308
-1.185 1.595 -0.307
-1.179 1.598 -0.306
-1.173 1.602 -0.306
-1.168 1.604 -0.305
-1.162 1.608 -0.304
-1.156 1.611 -0.303
-1.150 1.614 -0.303
-1.144 1.617 -0.302
-1.138 1.620 -0.302
-1.132 1.623 -0.301
-1.126 1.626 -0.300
-1.120 1.630 -0.300
-1.113 1.633 -0.299
-1.107 1.636 -0.299
-1.101 1.640 -0.298
-1.095 1.643 -0.298
-1.089 1.646 -0.297
-1.082 1.649 -0.297
-1.076 1.653 -0.296
-1.069 1.656 -0.296
-1.063 1.659 -0.296
-1.056 1.663 -0.295
-1.050 1.666 -0.295
-1.043 1.670 -0.295
-1.036 1.673 -0.294
-1.029 1.677 -0.294
-1.022 1.681 -0.294
-1.016 1.684 -0.294
-1.009 1.688 -0.294
-1.001 1.692 -0.293
-0.994 1.695 -0.293
-0.987 1.699 -0.293
-0.980 1.703 -0.293
-0.973 1.706 -0.293
-0.966 1.710 -0.293
-0.959 1.714 -0.292
-0.951 1.717 -0.292
-0.944 1.721 -0.292
-0.937 1.725 -0.292
-0.930 1.728 -0.292
-0.922 1.732 -0.292
-0.915 1.736 -0.292
-0.908 1.739 -0.292
-0.900 1.743 -0.292
-0.893 1.747 -0.293
-0.885 1.751 -0.293
-0.878 1.755 -0.293
-0.870 1.760 -0.294
-0.863 1.763 -0.293
-0.855 1.767 -0.294
-0.847 1.771 -0.294
-0.839 1.775 -0.294
-0.832 1.779 -0.294
-0.825 1.782 -0.295
-0.820 1.785 -0.295
-0.817 1.787 -0.294
-0.814 1.788 -0.295
-0.814 1.788 -0.296
-0.815 1.787 -0.295
-0.817 1.786 -0.297
-0.821 1.785 -0.299
-0.826 1.783 -0.300
-0.830 1.781 -0.301
-0.834 1.780 -0.303
-0.838 1.779 -0.303
-0.841 1.777 -0.305
-0.843 1.776 -0.306
-0.845 1.775 -0.306
-0.847 1.774 -0.306
-0.848 1.773 -0.307
-0.849 1.772 -0.307
-0.849 1.771 -0.307
-0.850 1.770 -0.307
-0.850 1.770 -0.307
-0.850 1.769 -0.307
-0.851 1.768 -0.306
-0.850 1.767 -0.306
-0.850 1.766 -0.306
-0.849 1.766 -0.306
-0.849 1.765 -0.306
-0.848 1.764 -0.306
-0.847 1.764 -0.305
-0.846 1.763 -0.305
-0.845 1.763 -0.305
-0.844 1.762 -0.304
-0.843 1.762 -0.304
-0.841 1.762 -0.303
-0.840 1.761 -0.303
-0.839 1.761 -0.302
-0.837 1.761 -0.302
-0.835 1.761 -0.302
-0.834 1.761 -0.301
-0.832 1.760 -0.301
-0.830 1.760 -0.300
-0.828 1.760 -0.300
-0.827 1.760 -0.299
-0.825 1.760 -0.299
-0.823 1.760 -0.298
-0.821 1.760 -0.298
-0.820 1.760 -0.297
-0.818 1.760 -0.297
-0.816 1.761 -0.296
-0.814 1.761 -0.296
-0.813 1.761 -0.295
-0.811 1.761 -0.295
-0.809 1.762 -0.294
-0.807 1.763 -0.293
-0.806 1.763 -0.293
-0.804 1.763 -0.292
-0.803 1.764 -0.292
-0.802 1.764 -0.291
-0.800 1.765 -0.291
-0.799 1.765 -0.290
-0.798 1.766 -0.289
-0.797 1.766 -0.289
-0.795 1.766 -0.288
-0.794 1.767 -0.288
-0.793 1.767 -0.287
-0.792 1.767 -0.286
-0.791 1.768 -0.286
-0.790 1.768 -0.285
-0.789 1.769 -0.285
-0.788 1.769 -0.284
-0.787 1.769 -0.284
-0.786 1.770 -0.283
-0.785 1.770 -0.282
-0.784 1.771 -0.282
-0.784 1.771 -0.281
-0.783 1.771 -0.280
-0.782 1.772 -0.280
-0.781 1.772 -0.279
-0.781 1.772 -0.279
-0.780 1.773 -0.278
-0.780 1.773 -0.277
-0.779 1.773 -0.277
-0.778 1.773 -0.276
-0.778 1.773 -0.275
-0.777 1.774 -0.275
-0.777 1.774 -0.274
-0.776 1.774 -0.274
-0.776 1.774 -0.273
-0.776 1.774 -0.272
-0.775 1.774 -0.271
-0.775 1.774 -0.271
-0.774 1.775 -0.270
-0.774 1.774 -0.269
-0.774 1.774 -0.268
-0.774 1.774 -0.268
-0.773 1.774 -0.267
-0.773 1.774 -0.266
-0.772 1.774 -0.265
-0.772 1.774 -0.264
-0.772 1.774 -0.263
-0.771 1.774 -0.263
-0.771 1.774 -0.262
-0.771 1.774 -0.261
-0.770 1.773 -0.260
-0.770 1.773 -0.259
-0.769 1.773 -0.258
-0.769 1.773 -0.257
-0.768 1.772 -0.256
-0.768 1.772 -0.255
-0.767 1.772 -0.254
-0.767 1.772 -0.253
-0.767 1.771 -0.251
-0.766 1.771 -0.250
-0.765 1.771 -0.249
-0.765 1.771 -0.248
-0.764 1.771 -0.247
-0.763 1.771 -0.246
-0.762 1.771 -0.245
-0.762 1.770 -0.243
-0.761 1.770 -0.242
-0.760 1.770 -0.241
-0.759 1.770 -0.240
-0.758 1.770 -0.239
-0.758 1.770 -0.237
-0.757 1.770 -0.236
-0.756 1.770 -0.235
-0.755 1.770 -0.234
-0.755 1.770 -0.233
-0.754 1.769 -0.231
-0.753 1.769 -0.230
-0.753 1.769 -0.229
-0.752 1.769 -0.227
-0.751 1.769 -0.226
-0.750 1.769 -0.225
-0.750 1.769 -0.224
-0.749 1.769 -0.222
-0.748 1.769 -0.221
-0.747 1.770 -0.220
-0.746 1.770 -0.219
-0.745 1.770 -0.217
-0.745 1.770 -0.216
-0.744 1.770 -0.215
-0.743 1.771 -0.213
-0.742 1.771 -0.212
-0.742 1.771 -0.211
-0.741 1.771 -0.210
-0.741 1.771 -0.208
-0.740 1.772 -0.207
-0.739 1.772 -0.206
-0.739 1.772 -0.204
-0.738 1.772 -0.203
-0.738 1.772 -0.202
-0.738 1.772 -0.200
-0.737 1.772 -0.199
-0.737 1.773 -0.198
-0.737 1.772 -0.196
-0.736 1.773 -0.195
-0.736 1.773 -0.194
-0.735 1.773 -0.193
-0.735 1.773 -0.191
-0.735 1.773 -0.190
-0.734 1.773 -0.189
-0.734 1.773 -0.187
-0.733 1.774 -0.186
-0.733 1.774 -0.185
-0.732 1.774 -0.183
-0.732 1.774 -0.182
-0.732 1.774 -0.181
-0.731 1.774 -0.179
-0.731 1.774 -0.178
-0.731 1.774 -0.177
