x y z
-1.246 2.187 -0.301
-1.244 2.186 -0.300
-1.244 2.186 -0.298
-1.244 2.186 -0.297
-1.246 2.189 -0.297
-1.246 2.189 -0.295
-1.244 2.187 -0.293
-1.243 2.186 -0.290
-1.243 2.186 -0.289
-1.243 2.186 -0.288
-1.245 2.188 -0.288
-1.244 2.186 -0.285
-1.245 2.188 -0.285
-1.244 2.187 -0.284
-1.244 2.187 -0.282
-1.244 2.187 -0.280
-1.243 2.187 -0.279
-1.243 2.186 -0.278
-1.242 2.186 -0.276
-1.242 2.186 -0.274
-1.242 2.186 -0.273
-1.241 2.186 -0.272
-1.242 2.185 -0.270
-1.241 2.185 -0.269
-1.243 2.186 -0.268
-1.243 2.186 -0.267
-1.241 2.185 -0.265
-1.241 2.185 -0.264
-1.242 2.186 -0.263
-1.242 2.186 -0.262
-1.244 2.187 -0.262
-1.242 2.185 -0.258
-1.240 2.185 -0.258
-1.241 2.186 -0.256
-1.241 2.186 -0.255
-1.240 2.186 -0.254
-1.240 2.186 -0.252
-1.239 2.186 -0.251
-1.238 2.186 -0.250
-1.238 2.186 -0.249
-1.238 2.186 -0.247
-1.237 2.187 -0.246
-1.237 2.187 -0.245
-1.232 2.184 -0.243
-1.236 2.187 -0.243
-1.235 2.187 -0.242
-1.235 2.187 -0.241
-1.234 2.187 -0.239
-1.234 2.187 -0.239
-1.234 2.187 -0.238
-1.234 2.187 -0.237
-1.234 2.187 -0.236
-1.235 2.187 -0.235
-1.235 2.187 -0.234
-1.235 2.187 -0.233
-1.235 2.186 -0.233
-1.235 2.187 -0.232
-1.236 2.187 -0.231
-1.235 2.186 -0.230
-1.235 2.186 -0.230
-1.235 2.185 -0.229
-1.235 2.185 -0.228
-1.234 2.184 -0.227
-1.234 2.184 -0.226
-1.237 2.186 -0.227
-1.236 2.185 -0.226
-1.239 2.186 -0.227
-1.239 2.186 -0.226
-1.240 2.186 -0.225
-1.240 2.186 -0.225
-1.240 2.186 -0.224
-1.241 2.185 -0.223
-1.241 2.185 -0.223
-1.240 2.184 -0.222
-1.239 2.182 -0.221
-1.237 2.179 -0.221
-1.235 2.176 -0.220
-1.232 2.171 -0.219
-1.228 2.165 -0.219
-1.223 2.157 -0.220
-1.219 2.148 -0.220
-1.214 2.138 -0.221
-1.206 2.126 -0.220
-1.200 2.116 -0.222
-1.198 2.106 -0.225
-1.191 2.095 -0.227
-1.185 2.083 -0.229
-1.178 2.070 -0.230
-1.170 2.058 -0.232
-1.162 2.044 -0.233
-1.153 2.030 -0.235
-1.146 2.017 -0.237
-1.140 2.006 -0.241
-1.130 1.991 -0.242
-1.121 1.976 -0.245
-1.113 1.962 -0.246
-1.104 1.947 -0.249
-1.096 1.934 -0.253
-1.087 1.919 -0.256
-1.078 1.903 -0.257
-1.069 1.888 -0.259
-1.060 1.873 -0.262
-1.051 1.858 -0.265
-1.043 1.844 -0.269
-1.032 1.827 -0.271
-1.022 1.811 -0.274
-1.013 1.796 -0.278
-1.003 1.780 -0.282
-0.993 1.764 -0.285
-0.983 1.748 -0.289
-0.973 1.732 -0.293
-0.963 1.716 -0.297
-0.952 1.700 -0.301
-0.942 1.684 -0.305
-0.932 1.667 -0.310
-0.922 1.651 -0.314
-0.911 1.634 -0.319
-0.901 1.618 -0.323
-0.891 1.601 -0.328
-0.880 1.584 -0.333
-0.871 1.568 -0.337
-0.859 1.551 -0.344
-0.849 1.534 -0.348
-0.837 1.517 -0.355
-0.826 1.500 -0.360
-0.815 1.483 -0.366
-0.804 1.466 -0.372
-0.793 1.448 -0.378
-0.783 1.431 -0.384
-0.772 1.413 -0.390
-0.761 1.396 -0.396
-0.750 1.378 -0.403
-0.739 1.360 -0.409
-0.728 1.343 -0.416
-0.718 1.325 -0.422
-0.707 1.306 -0.429
-0.696 1.288 -0.436
-0.685 1.270 -0.443
-0.674 1.252 -0.450
-0.663 1.234 -0.457
-0.652 1.215 -0.464
-0.641 1.197 -0.471
-0.630 1.178 -0.478
-0.619 1.160 -0.485
-0.608 1.142 -0.492
-0.597 1.123 -0.500
-0.585 1.105 -0.507
-0.574 1.086 -0.514
-0.563 1.067 -0.521
-0.552 1.048 -0.528
-0.541 1.030 -0.535
-0.530 1.010 -0.542
-0.519 0.992 -0.548
-0.510 0.976 -0.554
-0.502 0.961 -0.560
