x y z
-1.815 -0.380 -0.640
-1.815 -0.381 -0.639
-1.815 -0.381 -0.638
-1.815 -0.382 -0.637
-1.814 -0.382 -0.636
-1.814 -0.383 -0.635
-1.814 -0.383 -0.634
-1.814 -0.384 -0.633
-1.814 -0.385 -0.632
-1.813 -0.385 -0.631
-1.813 -0.385 -0.630
-1.813 -0.386 -0.629
-1.813 -0.386 -0.628
-1.812 -0.387 -0.626
-1.812 -0.387 -0.625
-1.812 -0.388 -0.624
-1.811 -0.388 -0.623
-1.811 -0.389 -0.622
-1.810 -0.389 -0.621
-1.810 -0.390 -0.620
-1.810 -0.390 -0.619
-1.809 -0.391 -0.618
-1.809 -0.391 -0.616
-1.808 -0.392 -0.615
-1.808 -0.393 -0.614
-1.807 -0.393 -0.613
-1.807 -0.394 -0.612
-1.806 -0.394 -0.611
-1.806 -0.395 -0.609
-1.806 -0.396 -0.608
-1.805 -0.396 -0.607
-1.805 -0.396 -0.606
-1.804 -0.397 -0.605
-1.804 -0.397 -0.604
-1.804 -0.398 -0.602
-1.804 -0.398 -0.601
-1.803 -0.398 -0.600
-1.803 -0.399 -0.599
-1.803 -0.399 -0.598
-1.802 -0.400 -0.597
-1.802 -0.400 -0.596
-1.801 -0.401 -0.595
-1.800 -0.401 -0.593
-1.800 -0.402 -0.592
-1.800 -0.403 -0.591
-1.799 -0.403 -0.590
-1.799 -0.404 -0.589
-1.799 -0.404 -0.588
-1.799 -0.404 -0.587
-1.798 -0.404 -0.586
-1.798 -0.405 -0.585
-1.798 -0.405 -0.584
-1.798 -0.405 -0.583
-1.798 -0.405 -0.582
-1.797 -0.406 -0.581
-1.797 -0.406 -0.580
-1.797 -0.406 -0.579
-1.796 -0.406 -0.578
-1.796 -0.407 -0.577
-1.795 -0.407 -0.576
-1.795 -0.407 -0.575
-1.794 -0.408 -0.574
-1.794 -0.408 -0.573
-1.793 -0.408 -0.572
-1.793 -0.408 -0.571
-1.793 -0.408 -0.569
-1.792 -0.408 -0.569
-1.792 -0.409 -0.568
-1.791 -0.409 -0.567
-1.791 -0.408 -0.566
-1.790 -0.408 -0.565
-1.789 -0.408 -0.564
-1.787 -0.408 -0.563
-1.785 -0.407 -0.562
-1.779 -0.408 -0.561
-1.772 -0.408 -0.561
-1.764 -0.408 -0.560
-1.754 -0.409 -0.560
-1.744 -0.410 -0.560
-1.734 -0.411 -0.561
-1.723 -0.413 -0.561
-1.711 -0.415 -0.562
-1.699 -0.416 -0.562
-1.686 -0.418 -0.563
-1.673 -0.420 -0.564
-1.659 -0.422 -0.564
-1.645 -0.423 -0.564
-1.634 -0.427 -0.564
-1.615 -0.426 -0.566
-1.603 -0.430 -0.565
-1.587 -0.431 -0.566
-1.572 -0.433 -0.566
-1.556 -0.434 -0.567
-1.540 -0.436 -0.568
-1.523 -0.436 -0.569
-1.508 -0.438 -0.569
-1.490 -0.439 -0.571
-1.475 -0.442 -0.571
-1.459 -0.443 -0.572
-1.442 -0.444 -0.573
-1.424 -0.445 -0.574
-1.408 -0.447 -0.575
-1.390 -0.448 -0.576
-1.373 -0.450 -0.577
-1.356 -0.452 -0.579
-1.338 -0.453 -0.580
-1.320 -0.455 -0.581
-1.302 -0.456 -0.583
-1.285 -0.457 -0.585
-1.267 -0.459 -0.586
-1.248 -0.460 -0.588
-1.230 -0.462 -0.590
-1.212 -0.463 -0.592
-1.194 -0.465 -0.595
-1.175 -0.466 -0.597
-1.157 -0.468 -0.599
-1.138 -0.469 -0.602
-1.119 -0.471 -0.605
-1.101 -0.472 -0.607
-1.082 -0.474 -0.610
-1.063 -0.475 -0.614
-1.044 -0.477 -0.617
-1.024 -0.479 -0.620
-1.005 -0.481 -0.624
-0.986 -0.482 -0.627
-0.966 -0.484 -0.631
-0.947 -0.486 -0.635
-0.927 -0.488 -0.639
-0.908 -0.489 -0.643
-0.888 -0.491 -0.646
-0.868 -0.492 -0.651
-0.848 -0.494 -0.655
-0.828 -0.496 -0.659
-0.808 -0.497 -0.663
-0.788 -0.499 -0.667
-0.768 -0.501 -0.672
-0.747 -0.502 -0.676
-0.727 -0.504 -0.681
-0.706 -0.506 -0.685
-0.686 -0.507 -0.689
-0.665 -0.509 -0.694
-0.644 -0.511 -0.698
-0.623 -0.513 -0.703
-0.602 -0.515 -0.707
-0.581 -0.517 -0.712
-0.560 -0.520 -0.716
-0.538 -0.522 -0.720
-0.517 -0.524 -0.725
-0.496 -0.526 -0.729
-0.478 -0.528 -0.733
-0.460 -0.530 -0.737
-0.446 -0.532 -0.740
-0.435 -0.534 -0.743
-0.429 -0.536 -0.746
-0.428 -0.537 -0.750
-0.431 -0.538 -0.754
-0.436 -0.539 -0.759
-0.443 -0.539 -0.763
-0.448 -0.540 -0.767
-0.452 -0.541 -0.771
-0.456 -0.541 -0.774
-0.460 -0.542 -0.777
-0.463 -0.544 -0.779
-0.467 -0.545 -0.781
-0.471 -0.546 -0.783
-0.475 -0.547 -0.784
-0.478 -0.549 -0.786
-0.480 -0.550 -0.787
-0.482 -0.551 -0.788
-0.484 -0.552 -0.790
-0.485 -0.553 -0.791
-0.487 -0.554 -0.792
-0.487 -0.555 -0.793
-0.488 -0.557 -0.793
-0.488 -0.558 -0.794
-0.487 -0.560 -0.794
-0.487 -0.561 -0.795
-0.486 -0.562 -0.795
-0.485 -0.564 -0.795
-0.484 -0.565 -0.795
-0.482 -0.567 -0.795
-0.481 -0.568 -0.794
-0.479 -0.569 -0.794
-0.478 -0.571 -0.794
-0.475 -0.572 -0.793
-0.473 -0.573 -0.792
-0.471 -0.575 -0.792
-0.469 -0.576 -0.791
-0.466 -0.577 -0.790
-0.464 -0.579 -0.789
-0.461 -0.580 -0.789
-0.459 -0.581 -0.787
-0.456 -0.583 -0.786
-0.453 -0.584 -0.785
-0.451 -0.586 -0.784
-0.448 -0.587 -0.783
-0.445 -0.588 -0.782
-0.442 -0.590 -0.781
-0.440 -0.591 -0.779
-0.437 -0.592 -0.778
-0.434 -0.593 -0.777
-0.432 -0.595 -0.776
-0.429 -0.596 -0.775
-0.427 -0.597 -0.774
-0.425 -0.598 -0.772
-0.422 -0.599 -0.771
-0.420 -0.600 -0.770
