x y z
-1.377 -0.276 -0.587
-1.377 -0.276 -0.586
-1.377 -0.276 -0.586
-1.377 -0.276 -0.585
-1.377 -0.276 -0.584
-1.377 -0.276 -0.583
-1.377 -0.276 -0.583
-1.376 -0.276 -0.582
-1.376 -0.276 -0.580
-1.375 -0.277 -0.579
-1.374 -0.277 -0.578
-1.374 -0.277 -0.577
-1.373 -0.277 -0.576
-1.373 -0.277 -0.575
-1.373 -0.277 -0.574
-1.372 -0.277 -0.573
-1.372 -0.277 -0.572
-1.372 -0.278 -0.571
-1.371 -0.278 -0.570
-1.371 -0.278 -0.570
-1.371 -0.278 -0.569
-1.371 -0.278 -0.568
-1.371 -0.279 -0.567
-1.370 -0.279 -0.566
-1.370 -0.279 -0.565
-1.369 -0.279 -0.564
-1.369 -0.279 -0.563
-1.368 -0.279 -0.562
-1.368 -0.279 -0.561
-1.368 -0.280 -0.560
-1.367 -0.280 -0.559
-1.367 -0.280 -0.558
-1.366 -0.280 -0.556
-1.366 -0.280 -0.555
-1.365 -0.281 -0.554
-1.365 -0.281 -0.553
-1.364 -0.281 -0.552
-1.364 -0.281 -0.552
-1.363 -0.281 -0.551
-1.363 -0.281 -0.550
-1.362 -0.281 -0.549
-1.362 -0.281 -0.547
-1.361 -0.281 -0.546
-1.361 -0.281 -0.545
-1.360 -0.281 -0.544
-1.360 -0.281 -0.543
-1.359 -0.281 -0.542
-1.359 -0.281 -0.540
-1.358 -0.281 -0.539
-1.358 -0.281 -0.539
-1.357 -0.281 -0.538
-1.357 -0.281 -0.537
-1.356 -0.281 -0.536
-1.356 -0.281 -0.535
-1.355 -0.281 -0.534
-1.355 -0.281 -0.534
-1.354 -0.281 -0.533
-1.354 -0.280 -0.532
-1.354 -0.280 -0.531
-1.353 -0.280 -0.530
-1.353 -0.279 -0.530
-1.353 -0.278 -0.529
-1.353 -0.278 -0.529
-1.353 -0.278 -0.528
-1.353 -0.277 -0.528
-1.352 -0.277 -0.527
-1.353 -0.277 -0.527
-1.353 -0.276 -0.527
-1.353 -0.277 -0.526
-1.352 -0.276 -0.525
-1.352 -0.276 -0.525
-1.352 -0.275 -0.524
-1.352 -0.274 -0.523
-1.352 -0.271 -0.522
-1.352 -0.267 -0.521
-1.353 -0.262 -0.521
-1.354 -0.256 -0.521
-1.354 -0.250 -0.520
-1.353 -0.242 -0.520
-1.353 -0.234 -0.520
-1.353 -0.225 -0.520
-1.353 -0.216 -0.520
-1.354 -0.206 -0.520
-1.354 -0.197 -0.520
-1.355 -0.187 -0.519
-1.355 -0.177 -0.518
-1.355 -0.167 -0.517
-1.355 -0.157 -0.516
-1.354 -0.146 -0.515
-1.354 -0.134 -0.514
-1.354 -0.123 -0.512
-1.353 -0.111 -0.511
-1.353 -0.099 -0.509
-1.353 -0.087 -0.507
-1.352 -0.074 -0.506
-1.352 -0.062 -0.504
-1.351 -0.049 -0.503
-1.351 -0.036 -0.501
-1.350 -0.023 -0.500
-1.350 -0.009 -0.498
-1.350 0.004 -0.497
-1.349 0.017 -0.496
-1.349 0.031 -0.494
-1.349 0.045 -0.493
-1.349 0.059 -0.492
-1.348 0.073 -0.491
-1.348 0.087 -0.490
-1.348 0.101 -0.489
-1.348 0.116 -0.488
-1.348 0.129 -0.487
-1.348 0.143 -0.486
-1.348 0.158 -0.486
-1.347 0.172 -0.485
-1.347 0.186 -0.484
-1.347 0.200 -0.483
-1.347 0.214 -0.483
-1.347 0.229 -0.483
-1.346 0.243 -0.482
-1.346 0.258 -0.482
-1.345 0.273 -0.482
-1.345 0.288 -0.482
-1.345 0.302 -0.482
-1.345 0.318 -0.482
-1.345 0.333 -0.482
-1.345 0.348 -0.482
-1.344 0.364 -0.482
-1.344 0.380 -0.482
-1.344 0.395 -0.482
-1.344 0.412 -0.483
-1.344 0.428 -0.483
-1.344 0.444 -0.484
-1.344 0.460 -0.484
-1.344 0.476 -0.485
-1.343 0.493 -0.486
-1.343 0.509 -0.487
-1.343 0.525 -0.488
-1.343 0.542 -0.489
-1.343 0.558 -0.490
-1.342 0.574 -0.491
-1.342 0.589 -0.490
-1.342 0.606 -0.491
-1.342 0.622 -0.492
-1.342 0.638 -0.494
-1.341 0.655 -0.495
-1.341 0.672 -0.497
-1.340 0.688 -0.499
-1.340 0.704 -0.500
-1.340 0.720 -0.502
-1.340 0.734 -0.503
-1.340 0.747 -0.503
-1.340 0.758 -0.504
-1.342 0.766 -0.505
-1.344 0.770 -0.505
-1.347 0.770 -0.507
-1.348 0.768 -0.508
-1.348 0.764 -0.509
-1.349 0.758 -0.511
-1.349 0.752 -0.513
-1.350 0.749 -0.516
-1.350 0.744 -0.517
-1.349 0.741 -0.518
-1.347 0.740 -0.518
-1.345 0.739 -0.518
-1.343 0.738 -0.518
-1.343 0.738 -0.518
-1.341 0.738 -0.518
-1.340 0.739 -0.519
-1.339 0.740 -0.519
-1.338 0.742 -0.518
-1.336 0.744 -0.518
-1.334 0.746 -0.518
-1.333 0.749 -0.518
-1.331 0.751 -0.518
-1.329 0.754 -0.517
-1.327 0.757 -0.517
-1.324 0.761 -0.516
-1.323 0.763 -0.516
-1.321 0.767 -0.516
-1.319 0.771 -0.515
-1.317 0.775 -0.515
-1.316 0.778 -0.515
-1.314 0.782 -0.514
-1.314 0.784 -0.513
-1.312 0.787 -0.512
-1.311 0.790 -0.511
-1.308 0.795 -0.513
-1.307 0.799 -0.512
-1.305 0.803 -0.512
-1.303 0.806 -0.512
-1.303 0.809 -0.510
-1.301 0.813 -0.511
-1.299 0.817 -0.510
-1.299 0.819 -0.508
-1.298 0.822 -0.508
-1.297 0.826 -0.507
-1.296 0.829 -0.507
-1.294 0.833 -0.507
-1.293 0.836 -0.506
-1.292 0.839 -0.505
-1.292 0.842 -0.505
-1.290 0.846 -0.505
-1.288 0.850 -0.505
-1.289 0.851 -0.504
-1.287 0.855 -0.504
-1.286 0.858 -0.503
-1.285 0.861 -0.503
-1.284 0.864 -0.503
-1.284 0.867 -0.502
-1.283 0.869 -0.502
-1.283 0.872 -0.502
-1.281 0.875 -0.501
-1.281 0.878 -0.501
-1.281 0.880 -0.501
-1.280 0.883 -0.501
-1.280 0.885 -0.501
-1.280 0.888 -0.500
-1.279 0.890 -0.500
-1.279 0.892 -0.500
-1.279 0.894 -0.500
-1.279 0.897 -0.500
-1.278 0.899 -0.500
-1.278 0.900 -0.500
-1.278 0.902 -0.500
-1.277 0.904 -0.500
-1.277 0.906 -0.499
-1.277 0.908 -0.499
-1.276 0.909 -0.499
-1.276 0.911 -0.499
-1.276 0.912 -0.499
-1.276 0.914 -0.499
-1.275 0.916 -0.499
-1.276 0.917 -0.498
-1.275 0.919 -0.498
-1.275 0.920 -0.498
-1.275 0.922 -0.498
-1.275 0.923 -0.498
-1.274 0.925 -0.498
-1.274 0.926 -0.497
-1.274 0.928 -0.497
-1.274 0.929 -0.497
-1.273 0.930 -0.496
-1.273 0.932 -0.496
-1.273 0.933 -0.496
-1.272 0.935 -0.495
-1.272 0.936 -0.495
-1.271 0.937 -0.495
-1.271 0.939 -0.494
-1.271 0.940 -0.493
-1.270 0.941 -0.493
-1.270 0.942 -0.492
-1.269 0.944 -0.492
-1.269 0.946 -0.491
-1.268 0.947 -0.491
-1.268 0.949 -0.490
-1.267 0.950 -0.490
-1.266 0.952 -0.489
-1.266 0.954 -0.488
-1.265 0.955 -0.488
-1.264 0.957 -0.487
-1.264 0.958 -0.486
-1.263 0.960 -0.486
-1.262 0.962 -0.485
-1.261 0.964 -0.484
-1.261 0.965 -0.484
-1.260 0.967 -0.483
-1.259 0.969 -0.482
-1.258 0.971 -0.481
-1.258 0.973 -0.481
-1.257 0.975 -0.480
-1.256 0.977 -0.479
-1.255 0.979 -0.478
-1.254 0.981 -0.478
-1.254 0.982 -0.477
-1.253 0.984 -0.476
-1.252 0.986 -0.475
-1.251 0.988 -0.474
-1.250 0.990 -0.474
-1.250 0.992 -0.473
-1.249 0.994 -0.472
-1.248 0.996 -0.471
-1.248 0.998 -0.471
-1.247 1.000 -0.470
-1.246 1.002 -0.469
-1.246 1.003 -0.468
-1.245 1.005 -0.468
-1.245 1.007 -0.467
-1.244 1.009 -0.466
-1.244 1.011 -0.465
-1.243 1.012 -0.465
-1.243 1.014 -0.464
-1.242 1.016 -0.463
-1.242 1.018 -0.462
-1.242 1.019 -0.462
-1.241 1.021 -0.461
-1.241 1.023 -0.460
-1.241 1.025 -0.460
-1.240 1.026 -0.459
-1.239 1.029 -0.459
-1.239 1.030 -0.458
-1.239 1.032 -0.457
-1.238 1.034 -0.456
-1.238 1.035 -0.456
-1.238 1.036 -0.455
-1.237 1.038 -0.454
-1.237 1.039 -0.454
-1.236 1.041 -0.453
-1.235 1.042 -0.452
-1.235 1.043 -0.451
-1.236 1.044 -0.451
-1.235 1.045 -0.450
-1.234 1.047 -0.449
-1.234 1.048 -0.449
-1.234 1.049 -0.448
-1.234 1.050 -0.447
