x y z
-1.649 2.241 -0.297
-1.649 2.241 -0.296
-1.650 2.242 -0.294
-1.650 2.242 -0.293
-1.650 2.242 -0.291
-1.651 2.243 -0.290
-1.651 2.243 -0.289
-1.652 2.243 -0.287
-1.652 2.244 -0.286
-1.653 2.244 -0.285
-1.653 2.244 -0.284
-1.654 2.244 -0.282
-1.654 2.245 -0.281
-1.655 2.245 -0.280
-1.655 2.245 -0.280
-1.657 2.245 -0.278
-1.656 2.245 -0.277
-1.657 2.245 -0.276
-1.658 2.246 -0.274
-1.658 2.246 -0.274
-1.659 2.246 -0.273
-1.659 2.246 -0.271
-1.660 2.247 -0.269
-1.660 2.247 -0.269
-1.660 2.247 -0.268
-1.661 2.248 -0.266
-1.662 2.248 -0.264
-1.662 2.248 -0.263
-1.662 2.249 -0.262
-1.662 2.249 -0.261
-1.663 2.249 -0.259
-1.663 2.249 -0.258
-1.663 2.249 -0.257
-1.663 2.249 -0.257
-1.664 2.250 -0.255
-1.664 2.250 -0.254
-1.665 2.250 -0.253
-1.665 2.251 -0.251
-1.665 2.251 -0.250
-1.665 2.251 -0.249
-1.665 2.252 -0.248
-1.665 2.252 -0.247
-1.665 2.252 -0.246
-1.665 2.253 -0.245
-1.665 2.253 -0.244
-1.665 2.253 -0.243
-1.665 2.254 -0.242
-1.665 2.254 -0.241
-1.665 2.255 -0.240
-1.665 2.255 -0.241
-1.666 2.255 -0.239
-1.667 2.256 -0.238
-1.666 2.256 -0.238
-1.667 2.256 -0.236
-1.668 2.256 -0.236
-1.669 2.256 -0.235
-1.668 2.256 -0.235
-1.670 2.256 -0.234
-1.671 2.257 -0.233
-1.671 2.256 -0.232
-1.672 2.256 -0.232
-1.673 2.256 -0.231
-1.674 2.256 -0.230
-1.675 2.257 -0.230
-1.676 2.257 -0.229
-1.677 2.257 -0.229
-1.677 2.257 -0.228
-1.677 2.257 -0.229
-1.678 2.257 -0.228
-1.678 2.257 -0.227
-1.679 2.257 -0.226
-1.680 2.258 -0.225
-1.679 2.258 -0.225
-1.679 2.259 -0.223
-1.678 2.260 -0.222
-1.677 2.261 -0.221
-1.675 2.262 -0.221
-1.673 2.264 -0.220
-1.670 2.265 -0.220
-1.668 2.267 -0.219
-1.664 2.270 -0.220
-1.662 2.272 -0.218
-1.659 2.275 -0.218
-1.656 2.278 -0.218
-1.652 2.281 -0.218
-1.648 2.284 -0.218
-1.644 2.287 -0.218
-1.639 2.290 -0.218
-1.635 2.294 -0.218
-1.630 2.297 -0.218
-1.626 2.301 -0.217
-1.620 2.305 -0.218
-1.615 2.308 -0.218
-1.610 2.312 -0.217
-1.606 2.316 -0.216
-1.601 2.319 -0.216
-1.595 2.322 -0.216
-1.591 2.326 -0.215
-1.586 2.329 -0.214
-1.581 2.333 -0.213
-1.575 2.336 -0.214
-1.571 2.340 -0.212
-1.565 2.343 -0.213
-1.560 2.346 -0.212
-1.554 2.350 -0.211
-1.549 2.354 -0.211
-1.544 2.358 -0.209
-1.539 2.362 -0.209
-1.532 2.365 -0.209
-1.527 2.370 -0.208
-1.520 2.374 -0.208
-1.515 2.378 -0.207
-1.509 2.382 -0.206
-1.502 2.386 -0.207
-1.497 2.390 -0.205
-1.491 2.395 -0.205
-1.484 2.399 -0.205
-1.478 2.403 -0.205
-1.472 2.407 -0.204
-1.466 2.410 -0.203
-1.460 2.415 -0.202
-1.453 2.419 -0.202
-1.447 2.423 -0.202
-1.441 2.427 -0.201
-1.434 2.431 -0.201
-1.427 2.435 -0.200
-1.421 2.440 -0.200
-1.415 2.445 -0.199
-1.407 2.449 -0.199
-1.401 2.453 -0.199
-1.394 2.458 -0.199
-1.387 2.462 -0.199
-1.380 2.467 -0.199
-1.372 2.471 -0.198
-1.365 2.476 -0.198
-1.359 2.481 -0.197
-1.352 2.486 -0.197
-1.345 2.490 -0.197
-1.338 2.495 -0.197
-1.331 2.500 -0.197
-1.323 2.504 -0.197
-1.316 2.509 -0.197
-1.309 2.513 -0.197
-1.302 2.518 -0.197
-1.294 2.522 -0.197
-1.287 2.527 -0.197
-1.280 2.532 -0.197
-1.273 2.536 -0.197
-1.265 2.540 -0.197
-1.259 2.545 -0.197
-1.252 2.549 -0.197
-1.247 2.552 -0.197
-1.244 2.553 -0.197
-1.242 2.554 -0.197
-1.241 2.554 -0.197
-1.242 2.553 -0.198
-1.244 2.551 -0.199
-1.247 2.549 -0.200
-1.250 2.546 -0.202
-1.254 2.544 -0.203
-1.257 2.542 -0.205
-1.259 2.540 -0.206
-1.261 2.538 -0.207
-1.263 2.537 -0.208
-1.265 2.535 -0.209
-1.266 2.533 -0.209
-1.267 2.532 -0.210
-1.267 2.531 -0.210
-1.268 2.529 -0.210
-1.268 2.528 -0.210
-1.268 2.527 -0.211
-1.268 2.527 -0.211
-1.268 2.526 -0.211
-1.267 2.525 -0.210
-1.266 2.524 -0.210
-1.266 2.523 -0.210
-1.265 2.523 -0.210
-1.264 2.523 -0.210
-1.263 2.522 -0.210
-1.262 2.522 -0.210
-1.260 2.522 -0.209
-1.259 2.521 -0.210
-1.257 2.521 -0.209
-1.255 2.520 -0.209
-1.254 2.520 -0.208
-1.252 2.520 -0.208
-1.250 2.519 -0.208
-1.249 2.519 -0.207
-1.247 2.519 -0.207
-1.245 2.519 -0.206
-1.243 2.519 -0.206
-1.241 2.519 -0.205
-1.239 2.519 -0.204
-1.237 2.519 -0.204
-1.234 2.519 -0.204
-1.233 2.519 -0.202
-1.230 2.519 -0.203
-1.229 2.520 -0.201
-1.227 2.520 -0.201
-1.225 2.520 -0.200
-1.223 2.520 -0.199
-1.220 2.520 -0.200
-1.218 2.520 -0.198
-1.217 2.521 -0.197
-1.215 2.521 -0.197
-1.213 2.521 -0.196
-1.211 2.521 -0.195
-1.210 2.522 -0.195
-1.208 2.522 -0.194
-1.205 2.522 -0.194
-1.205 2.522 -0.193
-1.203 2.523 -0.193
-1.202 2.523 -0.192
-1.201 2.523 -0.191
-1.199 2.524 -0.191
-1.198 2.524 -0.190
-1.197 2.524 -0.190
-1.196 2.524 -0.189
-1.195 2.525 -0.189
-1.194 2.525 -0.188
-1.193 2.525 -0.188
-1.192 2.525 -0.187
-1.191 2.526 -0.186
-1.190 2.526 -0.186
-1.189 2.527 -0.185
-1.188 2.527 -0.185
-1.188 2.527 -0.184
-1.187 2.528 -0.184
-1.186 2.528 -0.183
-1.185 2.528 -0.183
-1.185 2.529 -0.182
-1.184 2.529 -0.181
-1.184 2.529 -0.181
-1.182 2.529 -0.181
-1.182 2.529 -0.179
-1.182 2.529 -0.179
-1.181 2.529 -0.178
-1.181 2.529 -0.177
-1.180 2.529 -0.177
-1.180 2.529 -0.176
-1.179 2.528 -0.176
-1.179 2.529 -0.174
-1.178 2.529 -0.174
-1.177 2.528 -0.173
-1.177 2.528 -0.172
-1.176 2.528 -0.171
-1.175 2.528 -0.171
-1.175 2.528 -0.169
-1.173 2.528 -0.169
-1.173 2.528 -0.168
-1.172 2.528 -0.167
