x y z
-1.512 2.085 -0.309
-1.512 2.085 -0.307
-1.512 2.085 -0.306
-1.513 2.085 -0.303
-1.513 2.085 -0.302
-1.513 2.085 -0.300
-1.512 2.085 -0.299
-1.513 2.086 -0.297
-1.513 2.085 -0.296
-1.513 2.085 -0.294
-1.513 2.085 -0.293
-1.514 2.085 -0.291
-1.514 2.085 -0.289
-1.514 2.085 -0.288
-1.515 2.085 -0.286
-1.515 2.085 -0.285
-1.515 2.085 -0.284
-1.516 2.085 -0.281
-1.516 2.085 -0.281
-1.516 2.085 -0.279
-1.516 2.085 -0.278
-1.516 2.085 -0.277
-1.517 2.085 -0.275
-1.516 2.085 -0.274
-1.517 2.085 -0.272
-1.517 2.084 -0.271
-1.518 2.084 -0.269
-1.517 2.084 -0.268
-1.517 2.084 -0.267
-1.518 2.084 -0.265
-1.518 2.084 -0.264
-1.518 2.084 -0.262
-1.517 2.084 -0.262
-1.518 2.083 -0.260
-1.518 2.084 -0.258
-1.518 2.083 -0.258
-1.518 2.084 -0.257
-1.518 2.084 -0.255
-1.518 2.084 -0.254
-1.519 2.084 -0.253
-1.518 2.084 -0.252
-1.519 2.085 -0.251
-1.519 2.085 -0.251
-1.519 2.085 -0.249
-1.519 2.085 -0.249
-1.519 2.085 -0.248
-1.520 2.086 -0.247
-1.520 2.086 -0.247
-1.520 2.086 -0.246
-1.521 2.087 -0.245
-1.521 2.087 -0.244
-1.521 2.087 -0.243
-1.522 2.087 -0.243
-1.523 2.088 -0.241
-1.522 2.088 -0.241
-1.523 2.088 -0.240
-1.524 2.089 -0.239
-1.524 2.089 -0.239
-1.524 2.089 -0.238
-1.524 2.089 -0.238
-1.525 2.089 -0.237
-1.526 2.090 -0.236
-1.526 2.090 -0.235
-1.526 2.090 -0.234
-1.526 2.090 -0.233
-1.525 2.091 -0.232
-1.523 2.092 -0.232
-1.520 2.093 -0.231
-1.515 2.096 -0.230
-1.510 2.101 -0.230
-1.503 2.104 -0.228
-1.494 2.108 -0.228
-1.485 2.114 -0.229
-1.476 2.119 -0.230
-1.467 2.125 -0.228
-1.457 2.131 -0.229
-1.446 2.137 -0.230
-1.436 2.143 -0.230
-1.426 2.149 -0.228
-1.415 2.154 -0.228
-1.406 2.160 -0.224
-1.394 2.166 -0.224
-1.383 2.173 -0.225
-1.371 2.180 -0.225
-1.359 2.186 -0.224
-1.347 2.193 -0.224
-1.335 2.199 -0.223
-1.324 2.206 -0.221
-1.312 2.213 -0.220
-1.300 2.220 -0.220
-1.288 2.227 -0.219
-1.276 2.233 -0.218
-1.263 2.241 -0.218
-1.251 2.248 -0.218
-1.238 2.255 -0.218
-1.226 2.262 -0.217
-1.213 2.269 -0.217
-1.200 2.276 -0.217
-1.187 2.283 -0.217
-1.175 2.290 -0.216
-1.161 2.297 -0.217
-1.148 2.304 -0.217
-1.136 2.311 -0.217
-1.123 2.319 -0.218
-1.109 2.326 -0.218
-1.095 2.333 -0.218
-1.081 2.340 -0.219
-1.068 2.348 -0.220
-1.053 2.355 -0.221
-1.039 2.363 -0.222
-1.025 2.371 -0.223
-1.010 2.379 -0.224
-0.996 2.386 -0.225
-0.981 2.395 -0.226
-0.966 2.403 -0.228
-0.951 2.410 -0.230
-0.936 2.418 -0.232
-0.922 2.426 -0.233
-0.907 2.434 -0.236
-0.891 2.442 -0.238
-0.877 2.450 -0.240
-0.861 2.458 -0.243
-0.848 2.466 -0.244
-0.833 2.474 -0.246
-0.818 2.482 -0.248
-0.803 2.490 -0.251
-0.790 2.498 -0.252
-0.774 2.506 -0.255
-0.759 2.514 -0.258
-0.743 2.523 -0.260
-0.728 2.532 -0.264
-0.713 2.540 -0.266
-0.698 2.548 -0.269
-0.683 2.556 -0.272
-0.667 2.565 -0.275
-0.653 2.573 -0.277
-0.638 2.581 -0.280
-0.622 2.589 -0.283
-0.607 2.597 -0.286
-0.592 2.605 -0.289
-0.576 2.614 -0.292
-0.564 2.622 -0.295
-0.551 2.629 -0.297
-0.541 2.635 -0.299
-0.533 2.640 -0.301
-0.530 2.642 -0.302
-0.529 2.643 -0.304
-0.532 2.642 -0.306
-0.537 2.640 -0.308
-0.544 2.636 -0.310
-0.552 2.631 -0.312
-0.559 2.627 -0.312
-0.563 2.623 -0.314
-0.566 2.620 -0.315
-0.568 2.616 -0.315
-0.570 2.613 -0.316
-0.571 2.610 -0.316
-0.572 2.607 -0.316
-0.572 2.604 -0.316
-0.571 2.601 -0.316
-0.570 2.598 -0.316
-0.570 2.596 -0.316
-0.569 2.594 -0.316
-0.567 2.592 -0.317
-0.564 2.590 -0.318
-0.563 2.589 -0.317
-0.561 2.587 -0.317
