x y z
-2.097 -0.039 -0.590
-2.096 -0.038 -0.588
-2.096 -0.038 -0.587
-2.096 -0.038 -0.586
-2.095 -0.038 -0.584
-2.095 -0.037 -0.583
-2.095 -0.037 -0.582
-2.094 -0.037 -0.580
-2.094 -0.036 -0.579
-2.093 -0.036 -0.577
-2.093 -0.036 -0.576
-2.093 -0.036 -0.574
-2.092 -0.036 -0.572
-2.092 -0.036 -0.571
-2.091 -0.035 -0.570
-2.091 -0.035 -0.569
-2.091 -0.035 -0.567
-2.090 -0.035 -0.566
-2.090 -0.035 -0.564
-2.089 -0.035 -0.563
-2.089 -0.034 -0.562
-2.089 -0.034 -0.560
-2.088 -0.034 -0.559
-2.088 -0.034 -0.558
-2.087 -0.034 -0.556
-2.087 -0.034 -0.555
-2.086 -0.034 -0.554
-2.086 -0.034 -0.552
-2.085 -0.034 -0.551
-2.085 -0.033 -0.549
-2.085 -0.033 -0.548
-2.084 -0.033 -0.547
-2.084 -0.033 -0.545
-2.083 -0.033 -0.544
-2.083 -0.033 -0.543
-2.082 -0.032 -0.542
-2.082 -0.032 -0.541
-2.081 -0.032 -0.540
-2.081 -0.032 -0.538
-2.080 -0.032 -0.537
-2.080 -0.033 -0.535
-2.079 -0.032 -0.534
-2.079 -0.032 -0.533
-2.078 -0.032 -0.531
-2.078 -0.032 -0.530
-2.077 -0.031 -0.529
-2.076 -0.031 -0.528
-2.076 -0.031 -0.527
-2.075 -0.030 -0.525
-2.075 -0.030 -0.524
-2.074 -0.030 -0.523
-2.073 -0.029 -0.522
-2.073 -0.029 -0.520
-2.072 -0.028 -0.519
-2.071 -0.028 -0.518
-2.071 -0.027 -0.517
-2.070 -0.027 -0.515
-2.070 -0.027 -0.514
-2.069 -0.027 -0.512
-2.068 -0.027 -0.511
-2.068 -0.026 -0.511
-2.067 -0.026 -0.510
-2.067 -0.026 -0.509
-2.066 -0.027 -0.508
-2.065 -0.027 -0.507
-2.065 -0.027 -0.506
-2.064 -0.027 -0.505
-2.064 -0.027 -0.504
-2.063 -0.026 -0.503
-2.063 -0.026 -0.502
-2.062 -0.025 -0.501
-2.062 -0.023 -0.500
-2.062 -0.021 -0.499
-2.061 -0.019 -0.498
-2.061 -0.016 -0.496
-2.061 -0.014 -0.496
-2.061 -0.011 -0.494
-2.061 -0.008 -0.494
-2.060 -0.003 -0.493
-2.060 0.001 -0.493
-2.060 0.005 -0.492
-2.059 0.009 -0.492
-2.059 0.014 -0.492
-2.059 0.019 -0.491
-2.059 0.024 -0.491
-2.059 0.029 -0.491
-2.059 0.034 -0.490
-2.059 0.039 -0.490
-2.059 0.044 -0.489
-2.059 0.050 -0.489
-2.059 0.056 -0.488
-2.059 0.061 -0.488
-2.059 0.067 -0.487
-2.058 0.073 -0.486
-2.058 0.079 -0.486
-2.058 0.084 -0.485
-2.058 0.090 -0.484
-2.058 0.096 -0.483
-2.057 0.102 -0.482
-2.057 0.108 -0.481
-2.057 0.114 -0.480
-2.056 0.120 -0.479
-2.056 0.126 -0.478
-2.056 0.132 -0.478
-2.055 0.138 -0.477
-2.055 0.145 -0.476
-2.055 0.151 -0.475
-2.055 0.157 -0.474
-2.054 0.164 -0.473
-2.053 0.171 -0.472
-2.053 0.177 -0.471
-2.052 0.184 -0.470
-2.052 0.190 -0.470
-2.052 0.197 -0.469
-2.052 0.204 -0.468
-2.051 0.211 -0.467
-2.051 0.218 -0.467
-2.051 0.225 -0.466
-2.050 0.232 -0.465
-2.050 0.239 -0.465
-2.050 0.246 -0.464
-2.049 0.253 -0.463
-2.049 0.260 -0.463
-2.049 0.268 -0.462
-2.048 0.275 -0.462
-2.048 0.282 -0.461
-2.048 0.289 -0.460
-2.048 0.296 -0.459
-2.048 0.304 -0.459
-2.047 0.312 -0.458
-2.047 0.319 -0.458
-2.047 0.327 -0.457
