x y z
-1.662 2.231 -0.321
-1.662 2.231 -0.319
-1.661 2.231 -0.318
-1.661 2.230 -0.317
-1.662 2.230 -0.314
-1.662 2.230 -0.313
-1.663 2.230 -0.311
-1.663 2.230 -0.310
-1.663 2.230 -0.308
-1.664 2.230 -0.306
-1.663 2.230 -0.305
-1.664 2.229 -0.303
-1.664 2.230 -0.302
-1.664 2.230 -0.299
-1.664 2.230 -0.298
-1.665 2.230 -0.296
-1.665 2.230 -0.295
-1.664 2.230 -0.294
-1.664 2.230 -0.291
-1.665 2.230 -0.290
-1.664 2.230 -0.289
-1.665 2.230 -0.287
-1.664 2.230 -0.286
-1.665 2.230 -0.283
-1.665 2.230 -0.282
-1.666 2.230 -0.281
-1.666 2.230 -0.279
-1.665 2.230 -0.278
-1.666 2.230 -0.276
-1.666 2.231 -0.275
-1.666 2.231 -0.273
-1.666 2.231 -0.272
-1.666 2.231 -0.270
-1.666 2.231 -0.269
-1.666 2.231 -0.267
-1.666 2.232 -0.266
-1.665 2.232 -0.265
-1.666 2.232 -0.263
-1.666 2.232 -0.261
-1.666 2.232 -0.260
-1.666 2.232 -0.258
-1.666 2.233 -0.257
-1.666 2.232 -0.255
-1.666 2.233 -0.254
-1.666 2.233 -0.253
-1.666 2.233 -0.251
-1.666 2.233 -0.250
-1.666 2.233 -0.249
-1.666 2.233 -0.248
-1.665 2.233 -0.247
-1.666 2.233 -0.245
-1.667 2.233 -0.244
-1.667 2.234 -0.243
-1.667 2.234 -0.242
-1.667 2.233 -0.241
-1.668 2.233 -0.240
-1.668 2.233 -0.239
-1.667 2.233 -0.239
-1.669 2.233 -0.238
-1.669 2.233 -0.237
-1.670 2.233 -0.236
-1.670 2.233 -0.235
-1.670 2.233 -0.234
-1.671 2.232 -0.233
-1.671 2.232 -0.232
-1.671 2.233 -0.231
-1.670 2.233 -0.230
-1.669 2.234 -0.229
-1.665 2.235 -0.229
-1.662 2.238 -0.227
-1.657 2.242 -0.226
-1.650 2.246 -0.227
-1.643 2.250 -0.227
-1.635 2.256 -0.227
-1.628 2.262 -0.227
-1.620 2.268 -0.227
-1.610 2.274 -0.228
-1.603 2.281 -0.227
-1.593 2.287 -0.227
-1.583 2.294 -0.227
-1.573 2.300 -0.227
-1.564 2.307 -0.225
-1.553 2.314 -0.225
-1.542 2.321 -0.225
-1.532 2.328 -0.224
-1.522 2.336 -0.223
-1.511 2.343 -0.222
-1.499 2.351 -0.222
-1.487 2.358 -0.221
-1.476 2.365 -0.221
-1.465 2.373 -0.220
-1.453 2.381 -0.220
-1.441 2.389 -0.219
-1.429 2.397 -0.219
-1.417 2.404 -0.218
-1.405 2.412 -0.218
-1.393 2.420 -0.218
-1.380 2.428 -0.217
-1.368 2.435 -0.217
-1.356 2.443 -0.217
-1.344 2.452 -0.217
-1.331 2.460 -0.218
-1.318 2.468 -0.218
-1.305 2.476 -0.218
-1.292 2.484 -0.218
-1.279 2.492 -0.219
-1.266 2.500 -0.219
-1.252 2.509 -0.220
-1.238 2.517 -0.221
-1.225 2.525 -0.222
-1.211 2.534 -0.222
-1.197 2.543 -0.223
-1.183 2.551 -0.224
-1.169 2.560 -0.226
-1.156 2.568 -0.227
-1.142 2.577 -0.228
-1.128 2.586 -0.230
-1.114 2.595 -0.232
-1.100 2.603 -0.233
-1.086 2.613 -0.235
-1.072 2.622 -0.237
-1.057 2.631 -0.239
-1.043 2.640 -0.242
-1.030 2.648 -0.243
-1.016 2.657 -0.246
-1.002 2.666 -0.248
-0.988 2.675 -0.250
-0.974 2.683 -0.252
-0.959 2.693 -0.255
-0.945 2.701 -0.257
-0.930 2.711 -0.260
-0.916 2.720 -0.262
-0.901 2.729 -0.265
