x y z
-2.057 -0.471 -0.616
-2.057 -0.472 -0.614
-2.057 -0.472 -0.613
-2.056 -0.472 -0.613
-2.055 -0.473 -0.612
-2.055 -0.473 -0.612
-2.055 -0.473 -0.610
-2.055 -0.474 -0.610
-2.054 -0.474 -0.609
-2.054 -0.475 -0.609
-2.054 -0.475 -0.608
-2.053 -0.476 -0.607
-2.052 -0.476 -0.606
-2.051 -0.475 -0.607
-2.050 -0.476 -0.606
-2.050 -0.476 -0.606
-2.049 -0.476 -0.605
-2.049 -0.477 -0.604
-2.049 -0.477 -0.603
-2.049 -0.478 -0.603
-2.049 -0.478 -0.603
-2.048 -0.478 -0.602
-2.048 -0.479 -0.602
-2.049 -0.480 -0.600
-2.049 -0.480 -0.600
-2.048 -0.481 -0.599
-2.048 -0.481 -0.599
-2.048 -0.481 -0.598
-2.048 -0.482 -0.598
-2.048 -0.482 -0.597
-2.047 -0.482 -0.596
-2.047 -0.482 -0.596
-2.046 -0.483 -0.595
-2.046 -0.483 -0.594
-2.045 -0.483 -0.594
-2.045 -0.484 -0.593
-2.044 -0.484 -0.592
-2.044 -0.485 -0.592
-2.043 -0.485 -0.591
-2.043 -0.486 -0.590
-2.043 -0.486 -0.590
-2.042 -0.487 -0.589
-2.042 -0.487 -0.588
-2.041 -0.487 -0.588
-2.041 -0.487 -0.587
-2.041 -0.488 -0.586
-2.040 -0.488 -0.586
-2.040 -0.488 -0.585
-2.039 -0.488 -0.584
-2.039 -0.488 -0.584
-2.038 -0.487 -0.583
-2.038 -0.487 -0.582
-2.037 -0.487 -0.582
-2.036 -0.487 -0.581
-2.036 -0.487 -0.581
-2.035 -0.487 -0.580
-2.034 -0.487 -0.579
-2.033 -0.487 -0.579
-2.033 -0.487 -0.578
-2.032 -0.487 -0.577
-2.031 -0.487 -0.577
-2.030 -0.487 -0.576
-2.030 -0.487 -0.576
-2.029 -0.487 -0.576
-2.029 -0.487 -0.575
-2.028 -0.487 -0.575
-2.028 -0.487 -0.574
-2.027 -0.487 -0.574
-2.027 -0.486 -0.573
-2.026 -0.486 -0.573
-2.026 -0.485 -0.572
