x y z
-1.435 2.258 -0.323
-1.435 2.258 -0.321
-1.435 2.258 -0.319
-1.435 2.257 -0.317
-1.434 2.257 -0.316
-1.434 2.257 -0.314
-1.434 2.256 -0.312
-1.433 2.256 -0.310
-1.433 2.256 -0.309
-1.433 2.255 -0.307
-1.433 2.255 -0.305
-1.433 2.254 -0.304
-1.433 2.254 -0.302
-1.433 2.253 -0.300
-1.432 2.253 -0.299
-1.432 2.253 -0.297
-1.432 2.252 -0.295
-1.432 2.252 -0.294
-1.432 2.252 -0.292
-1.431 2.252 -0.291
-1.431 2.252 -0.289
-1.431 2.252 -0.288
-1.430 2.251 -0.286
-1.430 2.251 -0.285
-1.430 2.251 -0.284
-1.430 2.251 -0.282
-1.430 2.251 -0.281
-1.430 2.250 -0.279
-1.429 2.250 -0.278
-1.429 2.250 -0.277
-1.429 2.250 -0.275
-1.429 2.249 -0.274
-1.428 2.249 -0.272
-1.428 2.249 -0.271
-1.428 2.249 -0.269
-1.427 2.249 -0.268
-1.427 2.249 -0.266
-1.427 2.249 -0.265
-1.426 2.249 -0.264
-1.425 2.249 -0.262
-1.425 2.249 -0.261
-1.425 2.249 -0.259
-1.424 2.249 -0.258
-1.424 2.249 -0.257
-1.423 2.249 -0.255
-1.423 2.248 -0.254
-1.422 2.248 -0.253
-1.422 2.248 -0.251
-1.422 2.248 -0.250
-1.422 2.248 -0.249
-1.422 2.248 -0.247
-1.422 2.248 -0.246
-1.422 2.248 -0.245
-1.421 2.248 -0.244
-1.421 2.248 -0.243
-1.421 2.247 -0.242
-1.422 2.247 -0.241
-1.421 2.247 -0.240
-1.422 2.248 -0.239
-1.422 2.248 -0.238
-1.422 2.248 -0.237
-1.422 2.248 -0.236
-1.423 2.247 -0.235
-1.423 2.247 -0.234
-1.422 2.246 -0.232
-1.422 2.246 -0.231
-1.422 2.246 -0.230
-1.422 2.245 -0.229
-1.422 2.245 -0.228
-1.422 2.244 -0.226
-1.420 2.245 -0.225
-1.417 2.245 -0.224
-1.412 2.245 -0.222
-1.406 2.247 -0.222
-1.399 2.249 -0.221
-1.392 2.252 -0.221
-1.383 2.256 -0.223
-1.374 2.260 -0.222
-1.364 2.264 -0.223
-1.355 2.269 -0.224
-1.345 2.274 -0.224
-1.334 2.277 -0.223
-1.323 2.282 -0.223
-1.312 2.287 -0.223
-1.301 2.291 -0.223
-1.289 2.295 -0.222
-1.277 2.300 -0.222
-1.264 2.305 -0.221
-1.252 2.309 -0.221
-1.239 2.314 -0.220
-1.226 2.319 -0.220
-1.213 2.324 -0.220
-1.199 2.329 -0.220
-1.186 2.334 -0.219
-1.172 2.338 -0.219
-1.158 2.343 -0.219
-1.144 2.348 -0.220
-1.131 2.353 -0.219
-1.117 2.358 -0.220
-1.102 2.363 -0.220
-1.088 2.368 -0.221
-1.074 2.373 -0.221
-1.060 2.378 -0.222
-1.046 2.383 -0.222
-1.031 2.389 -0.223
-1.017 2.394 -0.224
-1.002 2.399 -0.225
-0.988 2.404 -0.226
-0.973 2.409 -0.226
-0.959 2.415 -0.227
-0.943 2.420 -0.230
-0.928 2.426 -0.230
-0.913 2.431 -0.232
-0.897 2.437 -0.235
-0.882 2.443 -0.237
-0.868 2.448 -0.237
-0.852 2.455 -0.240
-0.840 2.460 -0.240
-0.823 2.466 -0.242
-0.807 2.471 -0.244
-0.790 2.477 -0.247
-0.774 2.483 -0.249
-0.758 2.489 -0.252
-0.742 2.495 -0.255
-0.726 2.501 -0.257
-0.710 2.507 -0.260
-0.694 2.514 -0.263
-0.678 2.520 -0.266
-0.662 2.527 -0.269
-0.646 2.533 -0.272
-0.630 2.540 -0.275
-0.613 2.546 -0.277
-0.597 2.552 -0.280
-0.580 2.558 -0.284
-0.564 2.564 -0.286
-0.547 2.571 -0.290
-0.531 2.577 -0.293
-0.514 2.584 -0.296
-0.498 2.591 -0.299
-0.482 2.597 -0.302
-0.466 2.604 -0.305
-0.448 2.610 -0.309
-0.431 2.616 -0.313
-0.414 2.623 -0.316
-0.398 2.629 -0.320
-0.381 2.635 -0.323
-0.366 2.642 -0.326
-0.353 2.649 -0.328
-0.339 2.653 -0.331
-0.327 2.658 -0.334
-0.320 2.662 -0.336
-0.316 2.664 -0.337
-0.317 2.664 -0.338
-0.322 2.664 -0.338
-0.325 2.661 -0.343
-0.333 2.658 -0.345
-0.339 2.655 -0.346
-0.346 2.652 -0.345
-0.347 2.649 -0.350
-0.351 2.646 -0.349
-0.352 2.643 -0.350
-0.353 2.641 -0.349
-0.353 2.637 -0.350
-0.352 2.635 -0.351
-0.352 2.633 -0.351
-0.350 2.630 -0.351
-0.349 2.629 -0.352
-0.346 2.627 -0.352
-0.344 2.625 -0.352
-0.342 2.624 -0.353
-0.339 2.622 -0.353
-0.337 2.621 -0.353
-0.334 2.620 -0.354
-0.331 2.618 -0.354
-0.327 2.617 -0.355
-0.324 2.616 -0.355
-0.321 2.615 -0.356
-0.317 2.614 -0.356
-0.314 2.613 -0.357
-0.311 2.612 -0.357
-0.307 2.611 -0.358
-0.304 2.610 -0.358
-0.299 2.609 -0.359
-0.296 2.609 -0.359
-0.292 2.608 -0.360
-0.289 2.607 -0.360
-0.285 2.607 -0.360
-0.281 2.606 -0.360
-0.278 2.606 -0.361
-0.274 2.605 -0.361
-0.270 2.605 -0.361
-0.267 2.605 -0.361
-0.263 2.604 -0.361
-0.260 2.604 -0.362
-0.256 2.604 -0.362
-0.253 2.603 -0.362
-0.250 2.603 -0.362
-0.246 2.603 -0.362
-0.243 2.603 -0.362
-0.240 2.603 -0.363
-0.237 2.602 -0.363
-0.234 2.603 -0.363
-0.231 2.602 -0.363
-0.229 2.603 -0.363
-0.226 2.602 -0.363
-0.223 2.602 -0.364
-0.221 2.603 -0.364
-0.218 2.603 -0.364
-0.216 2.603 -0.365
-0.213 2.603 -0.365
-0.211 2.603 -0.365
-0.209 2.603 -0.365
-0.207 2.603 -0.365
-0.205 2.604 -0.366
-0.203 2.604 -0.366
-0.201 2.604 -0.366
-0.200 2.606 -0.367
-0.198 2.606 -0.368
-0.196 2.607 -0.368
-0.194 2.606 -0.368
-0.192 2.607 -0.368
-0.191 2.607 -0.368
-0.189 2.607 -0.368
-0.188 2.607 -0.369
-0.186 2.607 -0.369
-0.185 2.607 -0.369
-0.183 2.608 -0.369
-0.182 2.608 -0.370
-0.181 2.608 -0.370
-0.179 2.608 -0.370
-0.178 2.608 -0.370
-0.177 2.608 -0.370
-0.175 2.608 -0.370
-0.173 2.606 -0.370
-0.173 2.608 -0.370
-0.172 2.608 -0.370
-0.170 2.608 -0.370
-0.169 2.607 -0.370
-0.168 2.607 -0.370
-0.166 2.607 -0.370
-0.165 2.607 -0.369
-0.164 2.607 -0.369
-0.162 2.607 -0.369
-0.161 2.606 -0.369
-0.159 2.606 -0.369
-0.158 2.606 -0.368
