x y z
-1.995 -0.066 -0.590
-1.994 -0.067 -0.588
-1.994 -0.067 -0.587
-1.993 -0.067 -0.585
-1.993 -0.067 -0.583
-1.993 -0.067 -0.582
-1.992 -0.067 -0.580
-1.992 -0.068 -0.578
-1.991 -0.068 -0.576
-1.991 -0.068 -0.574
-1.991 -0.069 -0.573
-1.990 -0.069 -0.571
-1.989 -0.069 -0.569
-1.988 -0.069 -0.567
-1.988 -0.069 -0.566
-1.987 -0.069 -0.564
-1.987 -0.070 -0.562
-1.987 -0.070 -0.561
-1.986 -0.070 -0.559
-1.986 -0.070 -0.558
-1.985 -0.070 -0.556
-1.985 -0.070 -0.554
-1.985 -0.071 -0.553
-1.984 -0.071 -0.551
-1.984 -0.071 -0.550
-1.983 -0.071 -0.548
-1.982 -0.071 -0.547
-1.981 -0.072 -0.545
-1.981 -0.072 -0.543
-1.980 -0.072 -0.542
-1.980 -0.073 -0.540
-1.979 -0.073 -0.539
-1.979 -0.073 -0.537
-1.978 -0.074 -0.536
-1.978 -0.074 -0.535
-1.978 -0.074 -0.533
-1.977 -0.074 -0.532
-1.977 -0.074 -0.530
-1.976 -0.075 -0.529
-1.975 -0.075 -0.528
-1.975 -0.075 -0.526
-1.974 -0.075 -0.524
-1.974 -0.075 -0.523
-1.973 -0.076 -0.522
-1.973 -0.076 -0.521
-1.972 -0.076 -0.519
-1.972 -0.076 -0.518
-1.971 -0.076 -0.516
-1.971 -0.077 -0.515
-1.970 -0.077 -0.514
-1.970 -0.077 -0.512
-1.969 -0.077 -0.511
-1.969 -0.077 -0.510
-1.968 -0.077 -0.508
-1.967 -0.077 -0.507
-1.967 -0.077 -0.506
-1.966 -0.076 -0.505
-1.966 -0.076 -0.503
-1.965 -0.076 -0.502
-1.964 -0.075 -0.501
-1.963 -0.075 -0.500
-1.963 -0.075 -0.498
-1.962 -0.075 -0.496
-1.962 -0.075 -0.495
-1.961 -0.075 -0.494
-1.960 -0.075 -0.492
-1.960 -0.075 -0.491
-1.959 -0.074 -0.490
-1.959 -0.074 -0.488
-1.958 -0.073 -0.487
-1.958 -0.071 -0.486
-1.958 -0.069 -0.485
-1.958 -0.067 -0.483
-1.958 -0.064 -0.482
-1.957 -0.061 -0.481
-1.958 -0.058 -0.480
-1.958 -0.055 -0.479
-1.958 -0.051 -0.478
-1.958 -0.047 -0.477
-1.959 -0.043 -0.477
-1.959 -0.038 -0.476
-1.959 -0.033 -0.476
-1.960 -0.029 -0.475
-1.961 -0.024 -0.475
-1.962 -0.019 -0.474
-1.962 -0.014 -0.474
-1.963 -0.009 -0.473
-1.963 -0.004 -0.472
-1.964 0.001 -0.472
-1.964 0.006 -0.471
-1.965 0.011 -0.470
-1.965 0.017 -0.470
-1.966 0.021 -0.469
-1.966 0.026 -0.468
-1.967 0.032 -0.467
-1.967 0.037 -0.466
-1.967 0.043 -0.466
-1.968 0.048 -0.465
-1.968 0.054 -0.464
-1.969 0.059 -0.463
-1.969 0.065 -0.462
