x y z
-1.313 2.339 -0.303
-1.312 2.340 -0.301
-1.312 2.340 -0.300
-1.312 2.341 -0.298
-1.312 2.341 -0.296
-1.312 2.341 -0.295
-1.312 2.341 -0.294
-1.312 2.342 -0.292
-1.312 2.342 -0.291
-1.312 2.342 -0.289
-1.312 2.343 -0.287
-1.312 2.343 -0.286
-1.312 2.344 -0.284
-1.312 2.344 -0.283
-1.312 2.344 -0.281
-1.312 2.345 -0.280
-1.312 2.345 -0.278
-1.311 2.346 -0.277
-1.311 2.346 -0.276
-1.311 2.347 -0.274
-1.311 2.347 -0.272
-1.311 2.348 -0.271
-1.311 2.348 -0.269
-1.311 2.348 -0.268
-1.311 2.349 -0.267
-1.311 2.349 -0.265
-1.310 2.349 -0.264
-1.311 2.350 -0.262
-1.311 2.350 -0.261
-1.311 2.350 -0.259
-1.311 2.351 -0.258
-1.310 2.351 -0.257
-1.311 2.352 -0.256
-1.311 2.352 -0.254
-1.310 2.352 -0.253
-1.311 2.352 -0.251
-1.311 2.353 -0.250
-1.310 2.353 -0.249
-1.311 2.353 -0.247
-1.310 2.354 -0.246
-1.310 2.354 -0.245
-1.310 2.354 -0.243
-1.309 2.355 -0.242
-1.309 2.355 -0.241
-1.309 2.355 -0.239
-1.308 2.356 -0.238
-1.308 2.356 -0.237
-1.307 2.356 -0.235
-1.307 2.357 -0.234
-1.306 2.357 -0.233
-1.306 2.357 -0.231
-1.306 2.358 -0.230
-1.305 2.358 -0.229
-1.305 2.359 -0.227
-1.304 2.359 -0.226
-1.303 2.359 -0.225
-1.303 2.360 -0.224
-1.303 2.360 -0.223
-1.303 2.360 -0.221
-1.303 2.361 -0.220
-1.302 2.361 -0.219
-1.302 2.362 -0.218
-1.302 2.362 -0.217
-1.302 2.362 -0.216
-1.302 2.362 -0.215
-1.302 2.363 -0.214
-1.302 2.363 -0.213
-1.302 2.363 -0.212
-1.302 2.363 -0.211
-1.303 2.363 -0.210
-1.302 2.364 -0.209
-1.302 2.364 -0.208
-1.302 2.363 -0.207
-1.302 2.363 -0.206
-1.301 2.361 -0.205
-1.300 2.358 -0.205
-1.297 2.353 -0.205
-1.294 2.346 -0.205
-1.290 2.338 -0.205
-1.286 2.329 -0.207
-1.282 2.320 -0.208
-1.278 2.310 -0.210
-1.273 2.299 -0.212
-1.268 2.289 -0.214
-1.262 2.277 -0.216
-1.256 2.265 -0.219
-1.250 2.253 -0.222
-1.244 2.240 -0.224
-1.237 2.227 -0.227
-1.228 2.212 -0.229
-1.222 2.200 -0.231
-1.215 2.186 -0.235
-1.209 2.173 -0.238
-1.201 2.158 -0.242
-1.194 2.143 -0.244
-1.187 2.128 -0.247
-1.180 2.114 -0.250
-1.172 2.099 -0.253
-1.163 2.082 -0.258
-1.156 2.068 -0.263
-1.148 2.053 -0.266
-1.140 2.036 -0.269
-1.132 2.021 -0.273
-1.123 2.005 -0.277
-1.115 1.988 -0.281
-1.107 1.972 -0.286
-1.098 1.956 -0.290
-1.090 1.940 -0.294
-1.081 1.923 -0.299
-1.073 1.906 -0.304
-1.064 1.889 -0.308
-1.055 1.872 -0.313
-1.047 1.855 -0.318
-1.038 1.838 -0.323
-1.029 1.820 -0.328
-1.020 1.803 -0.333
-1.011 1.786 -0.338
-1.002 1.768 -0.344
-0.993 1.751 -0.349
-0.984 1.733 -0.355
-0.975 1.716 -0.361
-0.965 1.698 -0.367
-0.956 1.680 -0.373
-0.946 1.663 -0.379
-0.937 1.644 -0.385
-0.927 1.626 -0.392
-0.918 1.608 -0.398
-0.908 1.590 -0.405
-0.899 1.571 -0.411
-0.889 1.552 -0.418
-0.880 1.533 -0.425
-0.870 1.514 -0.432
-0.860 1.495 -0.438
-0.851 1.476 -0.445
-0.841 1.457 -0.452
-0.831 1.437 -0.459
-0.821 1.418 -0.465
-0.811 1.399 -0.472
-0.802 1.379 -0.479
-0.792 1.359 -0.485
-0.782 1.339 -0.492
-0.772 1.320 -0.498
-0.763 1.300 -0.505
-0.753 1.280 -0.511
-0.743 1.260 -0.517
-0.734 1.239 -0.523
-0.724 1.219 -0.530
-0.714 1.199 -0.536
-0.705 1.179 -0.542
-0.695 1.158 -0.548
-0.686 1.140 -0.553
-0.678 1.123 -0.558
-0.671 1.107 -0.563
-0.667 1.096 -0.567
-0.665 1.088 -0.570
-0.666 1.086 -0.573
-0.668 1.088 -0.577
-0.672 1.092 -0.581
-0.677 1.098 -0.585
-0.683 1.105 -0.589
-0.689 1.112 -0.592
-0.693 1.117 -0.594
-0.697 1.122 -0.596
-0.701 1.127 -0.597
-0.705 1.132 -0.598
-0.709 1.136 -0.598
-0.712 1.141 -0.599
-0.715 1.146 -0.599
-0.718 1.150 -0.599
-0.720 1.153 -0.599
-0.722 1.156 -0.599
-0.723 1.158 -0.598
-0.724 1.160 -0.598
-0.725 1.161 -0.598
-0.726 1.162 -0.597
-0.726 1.163 -0.597
-0.726 1.163 -0.596
-0.726 1.162 -0.595
-0.726 1.162 -0.594
-0.726 1.161 -0.593
-0.725 1.159 -0.592
-0.725 1.158 -0.591
-0.724 1.156 -0.590
-0.723 1.154 -0.589
-0.723 1.152 -0.588
-0.721 1.150 -0.587
-0.720 1.148 -0.585
-0.718 1.145 -0.584
-0.717 1.142 -0.582
-0.715 1.139 -0.580
-0.714 1.136 -0.578
-0.712 1.133 -0.577
-0.710 1.130 -0.575
-0.709 1.127 -0.573
-0.707 1.124 -0.571
-0.705 1.120 -0.569
-0.704 1.117 -0.567
-0.702 1.114 -0.565
-0.701 1.111 -0.563
-0.699 1.107 -0.561
-0.698 1.104 -0.559
-0.697 1.101 -0.557
-0.695 1.098 -0.555
-0.694 1.095 -0.553
-0.693 1.092 -0.551
-0.694 1.089 -0.548
-0.693 1.086 -0.546
-0.692 1.084 -0.544
-0.690 1.081 -0.543
-0.687 1.080 -0.542
-0.686 1.078 -0.541
-0.685 1.076 -0.539
-0.684 1.074 -0.538
-0.683 1.073 -0.536
-0.682 1.071 -0.535
-0.682 1.070 -0.534
-0.681 1.069 -0.533
-0.680 1.068 -0.532
-0.680 1.066 -0.531
-0.679 1.065 -0.530
-0.678 1.064 -0.529
-0.678 1.063 -0.529
-0.678 1.062 -0.528
-0.677 1.061 -0.527
-0.677 1.061 -0.527
-0.677 1.060 -0.526
-0.676 1.060 -0.526
