x y z
-1.260 2.329 -0.294
-1.260 2.330 -0.292
-1.260 2.330 -0.291
-1.261 2.330 -0.288
-1.260 2.330 -0.287
-1.260 2.330 -0.285
-1.260 2.330 -0.283
-1.260 2.331 -0.282
-1.261 2.331 -0.279
-1.260 2.331 -0.278
-1.260 2.331 -0.276
-1.261 2.331 -0.274
-1.261 2.331 -0.272
-1.261 2.331 -0.271
-1.261 2.331 -0.269
-1.261 2.331 -0.268
-1.261 2.331 -0.265
-1.262 2.331 -0.264
-1.262 2.332 -0.262
-1.261 2.332 -0.261
-1.262 2.332 -0.259
-1.262 2.332 -0.257
-1.262 2.332 -0.256
-1.262 2.332 -0.254
-1.262 2.332 -0.253
-1.262 2.332 -0.251
-1.262 2.332 -0.250
-1.262 2.332 -0.248
-1.262 2.332 -0.246
-1.262 2.332 -0.245
-1.262 2.332 -0.243
-1.262 2.333 -0.242
-1.262 2.333 -0.240
-1.262 2.333 -0.239
-1.262 2.333 -0.237
-1.262 2.333 -0.236
-1.262 2.333 -0.234
-1.262 2.333 -0.233
-1.262 2.333 -0.231
-1.262 2.333 -0.230
-1.262 2.333 -0.229
-1.261 2.333 -0.227
-1.261 2.333 -0.226
-1.261 2.334 -0.224
-1.261 2.334 -0.223
-1.261 2.334 -0.222
-1.261 2.334 -0.220
-1.260 2.334 -0.220
-1.261 2.334 -0.218
-1.261 2.335 -0.217
-1.261 2.335 -0.216
-1.261 2.335 -0.216
-1.262 2.336 -0.214
-1.262 2.336 -0.213
-1.263 2.336 -0.212
-1.262 2.336 -0.212
-1.263 2.337 -0.210
-1.264 2.337 -0.209
-1.264 2.338 -0.208
-1.263 2.338 -0.208
-1.264 2.338 -0.206
-1.265 2.339 -0.205
-1.265 2.339 -0.205
-1.265 2.339 -0.204
-1.265 2.340 -0.203
-1.265 2.340 -0.202
-1.266 2.340 -0.201
-1.266 2.341 -0.201
-1.267 2.341 -0.200
-1.267 2.341 -0.199
-1.267 2.341 -0.198
-1.267 2.340 -0.197
-1.267 2.340 -0.196
-1.266 2.338 -0.196
-1.265 2.334 -0.196
-1.262 2.329 -0.195
-1.258 2.322 -0.196
-1.254 2.313 -0.196
-1.249 2.304 -0.197
-1.242 2.295 -0.199
-1.237 2.285 -0.200
-1.230 2.275 -0.203
-1.224 2.265 -0.205
-1.217 2.254 -0.207
-1.210 2.243 -0.209
-1.202 2.231 -0.211
-1.194 2.219 -0.214
-1.186 2.207 -0.216
-1.174 2.192 -0.217
-1.166 2.179 -0.219
-1.158 2.167 -0.222
-1.150 2.154 -0.225
-1.143 2.142 -0.229
-1.134 2.129 -0.232
-1.124 2.116 -0.236
-1.114 2.101 -0.240
-1.106 2.088 -0.245
-1.097 2.075 -0.249
-1.087 2.060 -0.252
-1.078 2.046 -0.256
-1.070 2.032 -0.259
-1.058 2.014 -0.261
-1.049 2.002 -0.269
-1.040 1.986 -0.273
-1.029 1.971 -0.277
-1.019 1.955 -0.281
-1.009 1.940 -0.284
-0.996 1.922 -0.286
-0.986 1.906 -0.290
-0.975 1.890 -0.295
-0.964 1.875 -0.300
-0.953 1.858 -0.305
-0.942 1.842 -0.309
-0.931 1.826 -0.314
-0.920 1.809 -0.319
-0.909 1.793 -0.324
-0.898 1.776 -0.330
-0.887 1.759 -0.335
-0.876 1.742 -0.340
-0.865 1.725 -0.346
-0.853 1.708 -0.351
-0.842 1.691 -0.357
-0.831 1.674 -0.362
-0.819 1.657 -0.368
-0.808 1.639 -0.374
-0.796 1.622 -0.380
-0.785 1.605 -0.386
-0.773 1.587 -0.392
-0.761 1.569 -0.398
-0.749 1.552 -0.405
-0.737 1.534 -0.411
-0.726 1.516 -0.417
-0.714 1.498 -0.423
-0.702 1.480 -0.430
-0.690 1.462 -0.436
-0.678 1.444 -0.442
-0.666 1.425 -0.449
-0.654 1.407 -0.455
-0.643 1.388 -0.461
-0.631 1.370 -0.467
-0.619 1.352 -0.473
-0.606 1.333 -0.479
-0.594 1.315 -0.485
-0.582 1.296 -0.491
-0.570 1.278 -0.497
-0.558 1.259 -0.503
-0.546 1.240 -0.508
-0.534 1.222 -0.514
-0.523 1.205 -0.519
-0.514 1.190 -0.524
-0.506 1.177 -0.529
-0.501 1.166 -0.532
-0.500 1.160 -0.536
-0.502 1.158 -0.539
-0.506 1.160 -0.543
-0.511 1.164 -0.547
-0.516 1.171 -0.550
-0.523 1.178 -0.553
-0.530 1.187 -0.555
-0.535 1.193 -0.557
-0.540 1.199 -0.557
-0.544 1.204 -0.558
-0.548 1.210 -0.558
-0.551 1.215 -0.558
-0.554 1.220 -0.557
-0.558 1.223 -0.556
-0.560 1.226 -0.556
-0.562 1.229 -0.556
-0.564 1.231 -0.555
-0.565 1.232 -0.554
-0.566 1.234 -0.554
-0.567 1.234 -0.553
-0.567 1.235 -0.552
-0.567 1.235 -0.551
-0.567 1.234 -0.550
-0.567 1.233 -0.549
-0.566 1.233 -0.548
-0.565 1.232 -0.547
-0.565 1.230 -0.546
-0.564 1.228 -0.544
-0.563 1.227 -0.543
-0.562 1.224 -0.542
-0.560 1.222 -0.540
-0.559 1.219 -0.539
-0.558 1.217 -0.537
-0.556 1.214 -0.536
-0.555 1.211 -0.534
-0.553 1.208 -0.532
-0.552 1.205 -0.530
-0.550 1.202 -0.528
-0.549 1.199 -0.526
-0.547 1.197 -0.524
-0.545 1.194 -0.522
-0.544 1.191 -0.520
-0.542 1.188 -0.518
-0.541 1.185 -0.516
-0.539 1.182 -0.514
-0.538 1.179 -0.512
-0.536 1.177 -0.510
-0.535 1.174 -0.507
-0.533 1.171 -0.505
-0.532 1.169 -0.503
-0.531 1.166 -0.501
-0.529 1.164 -0.500
-0.528 1.162 -0.498
-0.527 1.160 -0.496
-0.526 1.158 -0.494
-0.525 1.156 -0.493
-0.524 1.154 -0.492
-0.524 1.153 -0.490
-0.523 1.151 -0.489
-0.522 1.150 -0.488
-0.522 1.149 -0.487
-0.522 1.148 -0.486
-0.521 1.147 -0.485
-0.521 1.147 -0.484
-0.521 1.146 -0.483
-0.520 1.146 -0.483
-0.520 1.145 -0.482
-0.520 1.144 -0.482
-0.520 1.144 -0.481
-0.520 1.144 -0.481
-0.520 1.144 -0.480
-0.521 1.144 -0.480
-0.521 1.143 -0.480
-0.521 1.144 -0.480
-0.521 1.144 -0.480
-0.521 1.145 -0.479
-0.521 1.145 -0.479
-0.521 1.145 -0.479
-0.521 1.146 -0.479
-0.521 1.146 -0.479
-0.521 1.147 -0.479
-0.521 1.147 -0.479
