x y z
-1.595 2.280 -0.312
-1.597 2.280 -0.310
-1.596 2.280 -0.310
-1.598 2.280 -0.307
-1.598 2.279 -0.307
-1.599 2.279 -0.304
-1.599 2.279 -0.304
-1.601 2.279 -0.302
-1.602 2.278 -0.300
-1.602 2.278 -0.300
-1.604 2.277 -0.297
-1.604 2.277 -0.296
-1.605 2.277 -0.295
-1.606 2.276 -0.293
-1.607 2.276 -0.292
-1.606 2.276 -0.292
-1.608 2.276 -0.289
-1.609 2.276 -0.288
-1.608 2.276 -0.288
-1.609 2.276 -0.286
-1.610 2.276 -0.284
-1.610 2.276 -0.283
-1.611 2.276 -0.282
-1.610 2.276 -0.282
-1.611 2.276 -0.279
-1.612 2.276 -0.278
-1.612 2.276 -0.277
-1.613 2.276 -0.276
-1.612 2.276 -0.276
-1.614 2.276 -0.274
-1.614 2.276 -0.273
-1.615 2.276 -0.271
-1.615 2.276 -0.271
-1.616 2.276 -0.269
-1.617 2.276 -0.268
-1.618 2.276 -0.267
-1.618 2.276 -0.266
-1.619 2.277 -0.264
-1.619 2.277 -0.263
-1.619 2.276 -0.263
-1.620 2.277 -0.261
-1.621 2.276 -0.260
-1.620 2.276 -0.260
-1.621 2.277 -0.258
-1.621 2.277 -0.257
-1.621 2.277 -0.256
-1.621 2.277 -0.255
-1.621 2.277 -0.254
-1.620 2.277 -0.254
-1.621 2.277 -0.251
-1.620 2.277 -0.250
-1.620 2.277 -0.249
-1.620 2.277 -0.248
-1.620 2.277 -0.247
-1.620 2.277 -0.246
-1.620 2.277 -0.245
-1.620 2.277 -0.244
-1.619 2.277 -0.244
-1.621 2.277 -0.242
-1.621 2.277 -0.241
-1.622 2.278 -0.241
-1.622 2.277 -0.240
-1.623 2.277 -0.239
-1.623 2.277 -0.238
-1.624 2.277 -0.238
-1.625 2.277 -0.237
-1.625 2.277 -0.236
-1.626 2.277 -0.235
-1.626 2.277 -0.235
-1.627 2.277 -0.234
-1.627 2.277 -0.233
-1.626 2.277 -0.233
-1.626 2.278 -0.231
-1.624 2.279 -0.231
-1.624 2.280 -0.230
-1.622 2.281 -0.229
-1.619 2.283 -0.229
-1.618 2.285 -0.227
-1.615 2.287 -0.227
-1.612 2.289 -0.226
-1.609 2.292 -0.226
-1.606 2.294 -0.226
-1.601 2.297 -0.227
-1.598 2.300 -0.226
-1.594 2.303 -0.226
-1.590 2.306 -0.225
-1.586 2.309 -0.225
-1.581 2.313 -0.226
-1.577 2.316 -0.225
-1.573 2.319 -0.225
-1.568 2.322 -0.225
-1.563 2.325 -0.225
-1.558 2.328 -0.224
-1.553 2.331 -0.224
-1.548 2.334 -0.223
-1.544 2.337 -0.222
-1.538 2.340 -0.222
-1.533 2.344 -0.222
-1.527 2.347 -0.222
-1.522 2.350 -0.221
-1.518 2.353 -0.220
-1.513 2.356 -0.220
-1.507 2.359 -0.220
-1.501 2.362 -0.220
-1.496 2.366 -0.219
-1.491 2.369 -0.219
-1.485 2.372 -0.218
-1.480 2.375 -0.218
-1.474 2.378 -0.218
-1.468 2.382 -0.217
-1.462 2.386 -0.217
-1.456 2.389 -0.217
-1.450 2.393 -0.217
-1.444 2.397 -0.216
-1.438 2.400 -0.216
-1.432 2.404 -0.216
-1.425 2.408 -0.216
-1.419 2.412 -0.216
-1.413 2.416 -0.215
-1.407 2.419 -0.215
-1.400 2.423 -0.215
-1.394 2.427 -0.215
-1.387 2.430 -0.215
-1.380 2.434 -0.215
-1.374 2.438 -0.215
-1.367 2.442 -0.215
-1.360 2.446 -0.215
-1.353 2.450 -0.215
-1.346 2.454 -0.215
-1.339 2.458 -0.215
-1.332 2.462 -0.215
-1.325 2.466 -0.215
-1.318 2.470 -0.216
-1.311 2.474 -0.216
-1.303 2.478 -0.216
-1.296 2.482 -0.217
-1.289 2.486 -0.217
-1.282 2.491 -0.217
-1.275 2.495 -0.218
-1.267 2.499 -0.218
-1.260 2.503 -0.219
-1.252 2.507 -0.219
-1.245 2.511 -0.219
-1.237 2.515 -0.220
-1.230 2.520 -0.220
-1.222 2.524 -0.221
-1.215 2.529 -0.221
-1.208 2.532 -0.221
-1.201 2.536 -0.222
-1.197 2.538 -0.222
-1.194 2.538 -0.222
-1.193 2.538 -0.223
-1.193 2.537 -0.223
-1.195 2.535 -0.224
-1.197 2.532 -0.226
-1.201 2.529 -0.227
-1.206 2.525 -0.229
-1.210 2.521 -0.231
-1.213 2.518 -0.232
-1.215 2.515 -0.234
-1.217 2.512 -0.235
-1.219 2.509 -0.235
-1.220 2.507 -0.236
-1.221 2.504 -0.237
-1.221 2.502 -0.237
-1.221 2.500 -0.237
-1.222 2.498 -0.237
-1.221 2.496 -0.238
-1.221 2.494 -0.238
-1.221 2.492 -0.238
-1.220 2.490 -0.238
-1.219 2.488 -0.238
-1.219 2.487 -0.238
-1.218 2.485 -0.238
-1.217 2.484 -0.238
-1.215 2.482 -0.238
-1.214 2.481 -0.238
-1.213 2.480 -0.238
-1.212 2.478 -0.238
-1.210 2.477 -0.238
-1.208 2.476 -0.238
